name,position,position_raw,age,number,market_value,source
Nicolás Temperini,ARQ,Nicolás Temperini Goalkeeper,31,N/A,€300k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Richard Leyton,ARQ,Richard Leyton Goalkeeper,39,N/A,€25k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Nicolás Suárez,DEF,Nicolás Suárez Centre-Back,20,N/A,€150k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Diego Opazo,DEF,Diego Opazo Centre-Back,35,N/A,€100k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Nozomi Kimura,DEF,Nozomi Kimura Centre-Back,29,N/A,€75k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Fabián Torres,DEF,Fabián Torres Centre-Back,36,N/A,€50k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
John Santander,N/A,John Santander Left-Back,31,N/A,€300k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Agustín Ortiz,DEL,Agustín Ortiz Right-Back,27,N/A,€300k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Marcelo Filla,N/A,Marcelo Filla Right-Back,28,N/A,€250k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Axl Ríos,DEF,Axl Ríos Defensive Midfield,26,N/A,€350k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Gastón Pérez,DEF,Gastón Pérez Defensive Midfield,26,N/A,€300k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Claudio Zamorano,DEF,Claudio Zamorano Defensive Midfield,27,N/A,€200k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Iván Ledezma,DEF,Iván Ledezma Central Midfield,30,N/A,€325k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Enzo Fernández,DEF,Enzo Fernández Central Midfield,23,N/A,€250k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Jorge Ortiz,MED,Jorge Ortiz Attacking Midfield,22,N/A,€200k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
John Valladares Moya,DEL,John Valladares Moya Left Winger,22,N/A,€350k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Sebastián Espinoza,DEL,Sebastián Espinoza Left Winger,21,N/A,€150k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Carlos Soza,DEL,Carlos Soza Left Winger,36,N/A,€50k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Carlos Ross,DEL,Carlos Ross Right Winger,35,N/A,€150k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Damián Sáez,MED,Damián Sáez Right Winger,24,N/A,-,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Lautaro Palacios,DEL,Lautaro Palacios Centre-Forward,30,N/A,€300k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Manuel López,DEL,Manuel López Centre-Forward,30,N/A,€150k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
Rodrigo Orellana,DEL,Rodrigo Orellana Centre-Forward,21,N/A,€75k,https://www.transfermarkt.com/deportes-copiapo/kader/verein/20694/saison_id/2025
