name,position,position_raw,age,number,market_value,source
Juan Dobboletta,ARQ,Juan Dobboletta Goalkeeper,33,N/A,€75k,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Maximiliano Henríquez,ARQ,Maximiliano Henríquez Goalkeeper,20,N/A,-,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Hardy Cavero,DEF,Hardy Cavero Centre-Back,29,N/A,€150k,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Esteban Flores,DEF,Esteban Flores Centre-Back,33,N/A,-,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Braian Camisassa,DEF,Braian Camisassa Centre-Back,28,N/A,-,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Nicolás Guerrero,DEF,Nicolás Guerrero Centre-Back,20,N/A,-,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Felipe Alvarado,N/A,Felipe Alvarado Left-Back,27,N/A,€125k,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Icker Quiroz,N/A,Icker Quiroz Right-Back,19,N/A,€25k,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
David Tati,N/A,David Tati Right-Back,23,N/A,-,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Gino Alucema,DEF,Gino Alucema Defensive Midfield,33,N/A,€200k,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Diego Acevedo,DEF,Diego Acevedo Central Midfield,25,N/A,€200k,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Hugo Herrera,DEF,Hugo Herrera Central Midfield,28,N/A,€200k,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Diego Plaza Ramos,DEF,Diego Plaza Ramos Central Midfield,23,N/A,€50k,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Felipe Orellana,DEF,Felipe Orellana Central Midfield,25,N/A,-,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Dilan Guzmán,MED,Dilan Guzmán Attacking Midfield,20,N/A,€100k,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Santiago Mederos,MED,Santiago Mederos Attacking Midfield,28,N/A,-,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Nicolás Barrios,DEL,Nicolás Barrios Left Winger,22,N/A,€150k,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Cristóbal Moreno,DEL,Cristóbal Moreno Left Winger,19,N/A,€50k,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Benjamín Miranda,MED,Benjamín Miranda Left Winger,21,N/A,€50k,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Joaquín González O.,DEL,Joaquín González O. Left Winger,20,N/A,-,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Mathías Pinto,DEL,Mathías Pinto Right Winger,27,N/A,€250k,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Cristián Pardo,DEL,Cristián Pardo Right Winger,23,N/A,€175k,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Juan Delgado,DEL,Juan Delgado Right Winger,32,N/A,€125k,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Diego Arias,DEL,Diego Arias Centre-Forward,26,N/A,€125k,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
Nadir Zeineddin,DEL,Nadir Zeineddin Centre-Forward,25,N/A,-,https://www.transfermarkt.com/deportes-santa-cruz/kader/verein/20683/saison_id/2025
