name,position,position_raw,age,number,market_value,source
Nicolás Peranic,ARQ,Nicolás Peranic Goalkeeper,40,N/A,€10k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Fernando Abarzúa,ARQ,Fernando Abarzúa Goalkeeper,23,N/A,-,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Tomás Charpentier,ARQ,Tomás Charpentier Goalkeeper,19,N/A,-,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Ignacio Meza,DEF,Ignacio Meza Centre-Back,30,N/A,€275k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Luis Muñoz,DEF,Luis Muñoz Centre-Back,22,N/A,€75k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Cristian González,DEF,Cristian González Centre-Back,36,N/A,€50k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Mateo Guerra,DEF,Mateo Guerra Centre-Back,21,N/A,€25k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Lucciano Moreno,DEF,Lucciano Moreno Centre-Back,22,N/A,-,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Alonso Villegas,DEF,Alonso Villegas Centre-Back,19,N/A,-,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Vicente Durán,N/A,Vicente Durán Left-Back,26,N/A,€250k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Diego Zamorano,MED,Diego Zamorano Left-Back,20,N/A,-,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Nicolás Muñoz Alister,DEL,Nicolás Muñoz Alister Right-Back,27,N/A,€150k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Guillermo Avello,MED,Guillermo Avello Right-Back,29,N/A,€150k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Gonzalo Bustos,DEF,Gonzalo Bustos Defensive Midfield,25,N/A,€225k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Pablo Millán,DEF,Pablo Millán Defensive Midfield,-,N/A,-,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Franco Cortés,DEF,Franco Cortés Central Midfield,25,N/A,€250k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Daniel Monardes,DEF,Daniel Monardes Central Midfield,25,N/A,-,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Carlos Hormazábal,DEF,Carlos Hormazábal Central Midfield,24,N/A,-,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Joel Torres,DEF,Joel Torres Central Midfield,26,N/A,-,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Fabián Pastenes,MED,Fabián Pastenes Attacking Midfield,20,N/A,-,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Gamal Plaza,MED,Gamal Plaza Attacking Midfield,18,N/A,-,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Fabián González,MED,Fabián González Attacking Midfield,23,N/A,-,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Gael Acosta,DEL,Gael Acosta Left Winger,33,N/A,€175k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Yerald Pinilla,DEL,Yerald Pinilla Left Winger,21,N/A,€100k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Martín Carreño,DEL,Martín Carreño Right Winger,21,N/A,€300k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Sergio Vergara,DEL,Sergio Vergara Right Winger,31,N/A,€150k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Sebastián Parada,DEL,Sebastián Parada Centre-Forward,25,N/A,€450k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Diego González,DEL,Diego González Centre-Forward,29,N/A,€275k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Luis Guillermo Madrigal,MED,Luis Guillermo Madrigal Centre-Forward,33,N/A,€125k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
Felipe Flores,DEL,Felipe Flores Centre-Forward,39,N/A,€25k,https://www.transfermarkt.com/cd-san-luis-de-quillota/kader/verein/19280/saison_id/2025
