name,position,position_raw,age,number,market_value,source
Nicolás Araya,ARQ,Nicolás Araya Goalkeeper,26,N/A,€200k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Nery Veloso,ARQ,Nery Veloso Goalkeeper,38,N/A,-,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
César,ARQ,César Goalkeeper,34,N/A,-,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Norman Rodríguez,DEF,Norman Rodríguez Centre-Back,27,N/A,€450k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Diego Carrasco,DEF,Diego Carrasco Centre-Back,30,N/A,€250k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Fausto Grillo,DEF,Fausto Grillo Centre-Back,33,N/A,€200k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Sebastián Silva,DEF,Sebastián Silva Centre-Back,34,N/A,€125k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Cristian Suárez,DEF,Cristian Suárez Centre-Back,39,N/A,€25k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Brayan Véjar,N/A,Brayan Véjar Left-Back,30,N/A,€300k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Jonathan Espínola,N/A,Jonathan Espínola Left-Back,23,N/A,€150k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Javier Rojas,N/A,Javier Rojas Left-Back,20,N/A,-,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Ariel Cáceres,N/A,Ariel Cáceres Right-Back,26,N/A,€225k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Mateo González,N/A,Mateo González Right-Back,20,N/A,-,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Yonatan Rodríguez,DEF,Yonatan Rodríguez Defensive Midfield,32,N/A,€200k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Sebastián Martínez,DEF,Sebastián Martínez Defensive Midfield,32,N/A,€125k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Misael Dávila,DEF,Misael Dávila Central Midfield,34,N/A,€250k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Fabrizio Manzo,DEF,Fabrizio Manzo Central Midfield,27,N/A,€200k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Nelson Sepúlveda,DEF,Nelson Sepúlveda Central Midfield,34,N/A,€175k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Mario Sandoval,DEF,Mario Sandoval Central Midfield,34,N/A,€100k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Nicolás Fuentes,DEF,Nicolás Fuentes Central Midfield,20,N/A,€25k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Leonardo Valencia,MED,Leonardo Valencia Attacking Midfield,34,N/A,€300k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Jorge Henríquez,MED,Jorge Henríquez Attacking Midfield,31,N/A,€300k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Leenhan Romero,MED,Leenhan Romero Attacking Midfield,19,N/A,-,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Ethan Espinoza,DEL,Ethan Espinoza Left Winger,25,N/A,€450k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Ángel Gillard,DEL,Ángel Gillard Left Winger,24,N/A,€300k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Franco Cáceres,DEL,Franco Cáceres Left Winger,18,N/A,-,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Aldrix Jara,DEL,Aldrix Jara Right Winger,25,N/A,€350k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Matías Cavalleri,DEL,Matías Cavalleri Right Winger,27,N/A,-,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Ignacio Mesías,DEL,Ignacio Mesías Centre-Forward,25,N/A,€500k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Carlos Escobar,DEL,Carlos Escobar Centre-Forward,36,N/A,€50k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
Joaquín Larrivey,DEL,Joaquín Larrivey Centre-Forward,41,N/A,€10k,https://www.transfermarkt.com/deportes-concepcion/kader/verein/14604/saison_id/2025
