name,position,position_raw,age,number,market_value,source
Sebastián Mella,ARQ,Sebastián Mella Goalkeeper,20,N/A,€150k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Rodrigo Odriozola,ARQ,Rodrigo Odriozola Goalkeeper,37,N/A,€50k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Christian Bravo,ARQ,Christian Bravo Goalkeeper,19,N/A,-,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Renzo Malanca,DEF,Renzo Malanca Centre-Back,22,N/A,€750k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Cristián Toro,DEF,Cristián Toro Centre-Back,25,N/A,€350k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Nicolás Vargas,DEF,Nicolás Vargas Centre-Back,32,N/A,€200k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Rafael Caroca,DEF,Rafael Caroca Centre-Back,36,N/A,€100k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Benjamín Mellado,DEF,Benjamín Mellado Centre-Back,22,N/A,€50k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Lucas Velásquez,N/A,Lucas Velásquez Left-Back,20,N/A,€300k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
José Ignacio Castro,DEL,José Ignacio Castro Left-Back,24,N/A,€250k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Maicol León,N/A,Maicol León Right-Back,22,N/A,€225k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Guillermo Guaiquil,MED,Guillermo Guaiquil Right-Back,23,N/A,€75k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Santiago Silva,DEF,Santiago Silva Defensive Midfield,21,N/A,€650k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Carlos Herrera,DEF,Carlos Herrera Defensive Midfield,25,N/A,€300k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Claudio Sepúlveda,DEF,Claudio Sepúlveda Defensive Midfield,33,N/A,€200k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Ezequiel Cañete,DEF,Ezequiel Cañete Central Midfield,26,N/A,€150k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Javier Cárcamo,DEF,Javier Cárcamo Central Midfield,21,N/A,€150k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Benjamín Ampuero,DEF,Benjamín Ampuero Central Midfield,19,N/A,€25k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Kevin Altez,MED,Kevin Altez Attacking Midfield,21,N/A,€250k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Mario Briceño,DEL,Mario Briceño Left Winger,29,N/A,€600k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Cris Martínez,DEL,Cris Martínez Left Winger,32,N/A,€450k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Harold Antiñirre,DEL,Harold Antiñirre Left Winger,23,N/A,-,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Juan Ignacio Figueroa,DEL,Juan Ignacio Figueroa Right Winger,22,N/A,€400k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Claudio Torres,DEL,Claudio Torres Right Winger,22,N/A,€350k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Lionel Altamirano,MED,Lionel Altamirano Centre-Forward,33,N/A,€500k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Maximiliano Rodríguez,DEL,Maximiliano Rodríguez Centre-Forward,25,N/A,€400k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
Luciano Arriagada,DEL,Luciano Arriagada Centre-Forward,23,N/A,€300k,https://www.transfermarkt.com/huachipato-fc/kader/verein/6368/saison_id/2025
