name,position,position_raw,age,number,market_value,source
Nicolás Avellaneda,ARQ,Nicolás Avellaneda Goalkeeper,33,N/A,€250k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Nelson Espinoza,ARQ,Nelson Espinoza Goalkeeper,30,N/A,€150k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Rodrigo Cáseres,DEF,Rodrigo Cáseres Centre-Back,28,N/A,€450k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Daniel Gutiérrez,DEF,Daniel Gutiérrez Centre-Back,23,N/A,€400k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Nicolás Palma,DEF,Nicolás Palma Centre-Back,24,N/A,€325k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Alexander Pastene,DEF,Alexander Pastene Centre-Back,25,N/A,-,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Cristián Gutiérrez,DEL,Cristián Gutiérrez Left-Back,29,N/A,€200k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Michael Maturana,N/A,Michael Maturana Left-Back,21,N/A,€50k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Christopher Díaz,DEL,Christopher Díaz Right-Back,30,N/A,€400k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Javier Saldías,N/A,Javier Saldías Right-Back,24,N/A,€275k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Camilo Moya,DEF,Camilo Moya Defensive Midfield,27,N/A,€400k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Juan Manuel Requena,DEF,Juan Manuel Requena Defensive Midfield,27,N/A,€400k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Yerko Leiva,DEF,Yerko Leiva Central Midfield,27,N/A,€450k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Joaquín Soto,DEF,Joaquín Soto Central Midfield,18,N/A,€50k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Carlo Villanueva,MED,Carlo Villanueva Attacking Midfield,26,N/A,€400k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Joan Cruz,MED,Joan Cruz Attacking Midfield,22,N/A,€300k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Axel Encinas,MED,Axel Encinas Attacking Midfield,21,N/A,€250k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Alan Brítez,MED,Alan Brítez Attacking Midfield,22,N/A,€25k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Martín Hiriart,DEL,Martín Hiriart Left Winger,21,N/A,€75k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Kevin Méndez,DEL,Kevin Méndez Right Winger,30,N/A,€500k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Bayron Oyarzo,DEL,Bayron Oyarzo Right Winger,30,N/A,€400k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Matías Campos López,MED,Matías Campos López Centre-Forward,34,N/A,€150k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Sebastián Sáez,DEL,Sebastián Sáez Centre-Forward,41,N/A,€10k,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
Francisco Pozzo,DEL,Francisco Pozzo Centre-Forward,22,N/A,-,https://www.transfermarkt.com/union-la-calera/kader/verein/20514/saison_id/2025
