name,position,position_raw,age,number,market_value,source
Federico Molina,ARQ,Federico Molina Goalkeeper,21,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Bryan Escobar,ARQ,Bryan Escobar Goalkeeper,23,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Paulo Magalhães,DEF,Paulo Magalhães Centre-Back,36,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Francisco Sepúlveda,DEF,Francisco Sepúlveda Centre-Back,34,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Javier Herrera,DEF,Javier Herrera Centre-Back,21,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Ignacio Carrasco,N/A,Ignacio Carrasco Left-Back,23,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Kurt Zimmermann,MED,Kurt Zimmermann Left-Back,24,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Damián Aldana,MED,Damián Aldana Right-Back,23,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Efraín Navarrete,N/A,Efraín Navarrete Right-Back,23,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Rubén Cepeda,DEF,Rubén Cepeda Defensive Midfield,31,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Bernardo Mendoza,DEF,Bernardo Mendoza Central Midfield,29,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Ian Núñez,DEF,Ian Núñez Central Midfield,18,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Luis Valenzuela,MED,Luis Valenzuela Attacking Midfield,38,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Yoel Guirrimán,MED,Yoel Guirrimán Attacking Midfield,20,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Jeckar Amaya,MED,Jeckar Amaya Attacking Midfield,23,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Martín Alfaro,DEL,Martín Alfaro Left Winger,21,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Massami Gutiérrez,MED,Massami Gutiérrez Right Winger,22,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Renato Araya,DEL,Renato Araya Right Winger,23,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Sebastián Núñez,DEL,Sebastián Núñez Right Winger,23,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Juan Pablo Lorca,DEL,Juan Pablo Lorca Right Winger,22,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Camilo Ponce,MED,Camilo Ponce Centre-Forward,35,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Hernán Ramírez,MED,Hernán Ramírez Centre-Forward,26,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
Nicolás Ibarra,DEL,Nicolás Ibarra Centre-Forward,20,N/A,-,https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025
