name,position,position_raw,age,number,market_value,source
Luis Santelices,ARQ,Luis Santelices Goalkeeper,40,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Tomás Chacón,ARQ,Tomás Chacón Goalkeeper,23,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Sebastián Tapia,ARQ,Sebastián Tapia Goalkeeper,21,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Carlos Gutiérrez,DEF,Carlos Gutiérrez Centre-Back,28,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Miguel Escalona,DEF,Miguel Escalona Centre-Back,35,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Cristian Magaña,DEF,Cristian Magaña Centre-Back,34,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Lucas Martínez Á.,DEF,Lucas Martínez Á. Centre-Back,19,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Brandon Cáceres,N/A,Brandon Cáceres Left-Back,23,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Maximiliano Valencia,N/A,Maximiliano Valencia Right-Back,23,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Benjamín Fuentes,MED,Benjamín Fuentes Right-Back,23,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Nicolás Basaure,DEF,Nicolás Basaure Central Midfield,22,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Benjamín Jaque,DEF,Benjamín Jaque Central Midfield,22,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Jarol Pizarro,DEL,Jarol Pizarro Left Winger,20,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Nicolás Maturana,DEL,Nicolás Maturana Right Winger,32,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Vicente Becerra,DEL,Vicente Becerra Right Winger,22,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Luis Vargas,DEL,Luis Vargas Centre-Forward,25,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Gustavo Luarte,DEL,Gustavo Luarte Centre-Forward,19,N/A,-,https://www.transfermarkt.com/deportes-melipilla/kader/verein/12949/saison_id/2025
Canterano Deportes Melipilla 01,MED,MED,18,N/A,?50k,generated
