name,position,position_raw,age,number,market_value,source
Kevin Catalán,ARQ,Kevin Catalán Goalkeeper,26,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Claudio Abarca,ARQ,Claudio Abarca Goalkeeper,32,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Guillermo Orellana,ARQ,Guillermo Orellana Goalkeeper,39,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Diego Cerón,DEF,Diego Cerón Centre-Back,34,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Sebastián Contreras,DEF,Sebastián Contreras Centre-Back,30,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Erick Millalen,DEF,Erick Millalen Centre-Back,26,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Bastián Solano,DEF,Bastián Solano Centre-Back,26,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
César González Silva,DEF,César González Silva Centre-Back,23,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Odswart Canessa,DEL,Odswart Canessa Left-Back,26,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Jaime Soto,N/A,Jaime Soto Right-Back,33,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Camilo Matamala,MED,Camilo Matamala Right-Back,20,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Luis Cabrera,DEF,Luis Cabrera Defensive Midfield,32,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Martín Lara,DEF,Martín Lara Central Midfield,25,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Hernán Becica,DEF,Hernán Becica Central Midfield,39,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Mauro Maureira,DEF,Mauro Maureira Central Midfield,24,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Bastián Araya,DEF,Bastián Araya Central Midfield,26,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Matías Ávila,DEF,Matías Ávila Central Midfield,28,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Sergio Bobadilla,DEF,Sergio Bobadilla Central Midfield,25,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Luis Oyarzo,MED,Luis Oyarzo Attacking Midfield,29,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Renato Tarifeño,DEL,Renato Tarifeño Left Winger,29,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Benjamín Castro,MED,Benjamín Castro Left Winger,19,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Benjamín Cortés,MED,Benjamín Cortés Left Winger,23,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Luis Felipe Maluenda,DEL,Luis Felipe Maluenda Right Winger,22,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Gabriel Suazo L.,DEL,Gabriel Suazo L. Right Winger,19,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Lens Leger,DEL,Lens Leger Right Winger,23,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Diego Cuéllar,DEL,Diego Cuéllar Centre-Forward,39,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
David Salazar,DEL,David Salazar Centre-Forward,26,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
Cristian Duma,DEL,Cristian Duma Centre-Forward,29,N/A,-,https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025
