name,position,position_raw,age,number,market_value,source
Elías Hartard,ARQ,Elías Hartard Goalkeeper,38,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Benjamín Reyes,ARQ,Benjamín Reyes Goalkeeper,27,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Andy Saul,ARQ,Andy Saul Goalkeeper,21,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Alexandro Benavente,DEF,Alexandro Benavente Centre-Back,21,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Tomás Pino,N/A,Tomás Pino Left-Back,25,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Vicente Cabrera,N/A,Vicente Cabrera Right-Back,23,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
José Duarte,DEF,José Duarte Defensive Midfield,28,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Israel Muñoz,DEF,Israel Muñoz Central Midfield,29,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Vicente Quevedo,DEF,Vicente Quevedo Central Midfield,20,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Javier Maulén,DEF,Javier Maulén Central Midfield,27,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Jaison Millares,DEF,Jaison Millares Central Midfield,26,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Luis Pacheco,DEF,Luis Pacheco Central Midfield,33,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Francisco Reyes,DEF,Francisco Reyes Central Midfield,21,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Marcelo Carvajal,MED,Marcelo Carvajal Attacking Midfield,29,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Joao Ugarte,MED,Joao Ugarte Attacking Midfield,23,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Benjamín Márquez,MED,Benjamín Márquez Attacking Midfield,18,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Pablo Contreras E.,MED,Pablo Contreras E. Attacking Midfield,22,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Luis Pérez,DEL,Luis Pérez Left Winger,26,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Javier Fica,DEL,Javier Fica Left Winger,21,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Diego Pizarro,DEL,Diego Pizarro Right Winger,22,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Alberto Delus,DEF,Alberto Delus Centre-Forward,20,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Héctor Molina,DEL,Héctor Molina Centre-Forward,33,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
Rubén Cobo,DEL,Rubén Cobo Centre-Forward,30,N/A,-,https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025
