name,position,position_raw,age,number,market_value,source
25. Emilio Torres Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
21. César Salinas (Sub-20) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
28. Francisco Garrido Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
23. José Ignacio Lártiga Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
29. Raimundo Izuck (Sub 20) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
1. Pablo Soto Soto Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
25. Cristóbal Vega Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Walter Limenza Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
1. Diego Stuardo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Julio Junior Bórquez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
1. Javier Cordero Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Joaquín García Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
12. Ariki Yañez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Maximiliano Samamé Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Luis Guzmán Morales Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
12. Byron Santelices Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Elián Olivares Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Marcelo Suárez Báez (2000) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Víctor Castro Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Tomás López Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Said Mena Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Martín Riady Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Felipe Retamal Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Sebastián Guzmán Caroca Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Javier Muñoz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
4. Luis Maldonado Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
7. Felipe Sepúlveda Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Ignacio Vera Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Felipe Valeria Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
19. Alexis Norambuena Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
20. Pablo Carrasco Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
20. Moisés Candia Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Jorge Ignacio Canales Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Ítalo Müller Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
14. Claudio Miranda Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Sebastián Valencia Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
23. Sebastián Toro Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Felipe Alvarado Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
11. Gonzalo Fierro Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Martín Ormeño Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Brandon Gómez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
3. Fidel Córdova Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
8. Luciano Cisterna Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
2. Vicente Starikoff Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
16. Cristian Vilches Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
34. Carlos Gutiérrez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
5. Benjamín Reyes Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
33. Francisco Correa Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Ignacio Aguilar Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
9. Esteban Aguilera Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
3. Benjamín Mirelis Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
28. Alan González Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
21. Vicente Moscoso Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Jarod Barrios Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Nicolás Fuentes Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
César Evans Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Dilan Fuenzalida Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
19. Isaac Paredes Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Benjamín Salazar Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
5. Nicolás Fuentes Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Hernán Ulloa Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Gonzalo Mura Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
2. Joaquín Méndez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
4. Ángel Latorre Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Bayron Velásquez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Janson Garrido Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Ignacio Contreras Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Martín Ochoa Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Cristóbal Finch Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Andrés Segovia Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Diego Pla Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Luciano Meza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
23. Daniel Quintriqueo Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
13. Jorge Muñoz Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
21. Gerard León Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
6. Lucas Faúndez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
8. Carlos Huerta Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
10. Juan José Vega Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
29. Jeremy Cerna Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Marcelo Carvajal Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Ignacio Cataldo Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Sebastián Mora Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
18. Luis Romero Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
14. Matías Fernández Correa Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
21. Gonzalo Pérez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
23. Gonzalo Rivas Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
2. Nicolás Higueras Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Vicente Bravo Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
14. Juan Maulén Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
10. Alans Yañez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
26. Matías Meléndez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Goran Zencovich Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
Brian Mendoza (VEN) Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
26. Carlos Rodríguez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
6. Diego Carvajal Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/ac-colina/?sid=161334
