name,position,position_raw,age,number,market_value,source
Franco Pérez,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Pablo Morales,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Manuel Gallardo,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Juan Silva H.,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Alejandro Acosta,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Sergio Muñoz Cañete,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Ignacio González Herrera Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
1. Christian Adriazola Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Fabián Vargas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Tomás López Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Cristóbal Carvacho Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
12. Matías Arévalo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Cristóbal López Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Bastián Fuentes Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Alberto Acevedo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Felipe Hernández Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Luciano Fletcher Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Nicolás Lillo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Jorge Ávila Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
17. Bryan Huerta Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Benjamín Lecaros Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
26. Bryan Rosel Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Benjamín Bozán Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Ángelo Silva Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Benjamín Bustos Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Cristóbal Muñoz Palomino Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Felipe Maureira Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
22. Carlos Catalán Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
4. Gabriel Lorca Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
21. Benjamín Herrera Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
19. Alexander del Río Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
5. Juan Pérez Sepúlveda Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Daniel Reyes Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
18. Cristóbal Farías Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
4. Martin Genskowski Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
23. Manuel Cortés Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Luis Fredes Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Javier Salazar Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Kurt Zimmermann (2001) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Nicolás Ubilla Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
José Mateo Cabrera Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Marco Castillo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Paolo Flores Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Gabriel Zúñiga Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Michael Morales Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Agustín Cañete Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Manuel Gutiérrez Cea Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Jaime Arévalo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Matías Morales Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Benjamín Albornoz Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Víctor Herrera Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
José Meneses Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Lukas Jiménez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
21. Ignacio Lucero Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Héctor Rojas Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Brandon Adille Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Jonathan Navarro Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Bastián Adams Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
32. Bayron Poblete Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Darío Espíndola Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Claudio Piña Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
16. Leonardo Medina Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Cristián Henríquez (2003) Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
24. Elías Caro Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
7. Luis Martín Gamboa Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Kevin Oyarce Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
14. Francisco Rivera Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
15. Joaquín Acevedo Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Lucas Valdebenito Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Sebastián Astorga Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
14. Francis Pérez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Ángelo González Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Renato Beltrán Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Jorge Uribe Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Nicolás Vergara Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
15. Hernán Arce Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Rodrigo Arriagada Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Diego Luna Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Cristián Maturana Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Joaquín Caro Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Luis Muñoz Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Marco Muñoz Jiménez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Matías Abarca Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Cristopher Leyton Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Gustavo Véliz Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Luan Henríquez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Carlos Alday Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Joaquín Contreras Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
14. Pablo Molina Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Javier Durán Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Yerko Farías Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
21. Sebastián Díaz Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Jonatan Navarro Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Andrés Orlando Bustamante Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Benjamín Díaz Pailamilla Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Mauricio Zenteno Jiménez Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
23. Benjamín Galaz Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Mauricio San Martín Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Juan Carlos Vargas Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
13. José Mateo Cabrera Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Raniery Figueroa Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
19. Nicolás Arancibia Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Juan Pablo Lorca (2003) Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
7. Patricio Fernández Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Karim Sarras Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Luciano Anzalone Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Juan José Sánchez Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
Ricardo Vergara Guajardo Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
DT. Guillermo Pérez Entrenador,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
DT. Rodrigo Quezada Entrenador,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
DT. César Bustamante Entrenador,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
DT. Alan Álvarez Entrenador,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
DT Manuel Gálvez Entrenador,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
DT. Renzo Yáñez Entrenador,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334
