- Franco Pérez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Gallardo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Silva H. | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Acosta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Muñoz Cañete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio González Herrera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Christian Adriazola Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Vargas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás López Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Carvacho Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Matías Arévalo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal López Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Fuentes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Alberto Acevedo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Hernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Fletcher Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Lillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Ávila Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Bryan Huerta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Lecaros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Bryan Rosel Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Bozán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ángelo Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Bustos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Muñoz Palomino Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Maureira Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Carlos Catalán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Gabriel Lorca Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Benjamín Herrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Alexander del Río Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Juan Pérez Sepúlveda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Reyes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Cristóbal Farías Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Martin Genskowski Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Manuel Cortés Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Fredes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Salazar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Kurt Zimmermann (2001) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Ubilla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Mateo Cabrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Castillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Paolo Flores Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Zúñiga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Morales Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Cañete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Gutiérrez Cea Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Arévalo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Morales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Albornoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Herrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- José Meneses Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lukas Jiménez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Ignacio Lucero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Héctor Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brandon Adille Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Navarro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Adams Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Bayron Poblete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Darío Espíndola Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Piña Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Leonardo Medina Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Henríquez (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Elías Caro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Luis Martín Gamboa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Oyarce Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Francisco Rivera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Joaquín Acevedo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Valdebenito Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
