- Damary Vivar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Stefany Leyton | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Denisse Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Damary Vivanco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Natalia Lizana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Autogol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Francisco Prieto Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Lara Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Sebastián López (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Ariki Yañez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Vargas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Muñoz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Santander Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Requena (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Jorge Deschamps Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Luis Gamonal Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Acevedo (2003) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Castro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Francisca Muñoz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Valentina Hernández Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Deschamps Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Guzmán Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Macarena Vergara Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Krishnna Valdés Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Antonella González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Cerda (2003) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Marianjel (2006) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Rodríguez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Pinos (ECU) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Vásquez (2007) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniella Rojas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Paz Godoy Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Renato González (2009) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 15. José David Portillo (PAR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Cárdenas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Diego Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Filla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Céspedes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Flavio Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan José Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodolfo González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Jorquera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Eric Godoy Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- John Santander Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- René Bugueño Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Rodrigo Cabrera (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Luis Vergara (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Mario Pardo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Ariel Coronel (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ivett Campos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Romo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Carlos Bustamante (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 35. Danilo Riquelme Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Ayala Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Fernández (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Fernando Ponce (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Paloma Bermúdez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Pía Jofré Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Claudia Retamal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Renata Vergara Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Garrido Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Samuel Arias Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Pacheco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Alarcón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Villalba Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pryscilla Aranibar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rachel Rubio Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yerco Oyanedel Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Toro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Priscila Araníbar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Anabel Guzmán (VEN) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Millaray Orellana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Annaís Valenzuela Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ivette Campos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Daniela Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Moya Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Sandoval Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Bechtholdt Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jens Buss Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
