- Yerko Betancur | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Muñoz Henríquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- John Sáez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rubén Sepúlveda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joham Parra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Abarzúa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Jeremy Cobo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Meyer (2001) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Estuardo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Nuñez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Tomás Martínez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Arturo Vásquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Álvarez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Montero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Ignacio Mella Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Pérez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Juan Bustos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Peñaloza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Sebastián Medina Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Wills Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Cristián Aguilera Méndez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Mauricio Aedo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Richard Arenas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Sebastián Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Aravena Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Bravo González (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Parra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Verdugo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Guzmán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Zuleta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Cabrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Jean Cares Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Rodrigo Toloza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Pablo García Angulo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Fabrizio Gallegos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brandon Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Camilo Parra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Ramos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Sánchez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Herrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Yonatan Riquelme Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Oporto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Bastián Soto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Álvaro Garrido Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Jordan Moreno Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Sebastián Moya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Benjamín Triviño Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Muñoz Aravena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Iraira Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Guillermo Ulloa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Abdala Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Jordan Salcedo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Oscar Poblete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Heredia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Padilla Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Nicolás Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Carlos Pacheco Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Jesús Saavedra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Bravo Pereda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Torres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Riffo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Cortéz-Monrroy Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Valdés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Quilaleo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Pizarro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Emmanuel Arismendi Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Riquelme Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Álex Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Bravo Silva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pascual De Gregorio Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Enríquez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Ricardo González Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Agustín Urra Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jerhal Oliva Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Davis Sánchez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Óscar Reyes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
