- Autogol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Guillermo Orellana Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Carlos Alfaro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Emiliano Flores Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Hernán Muñoz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Jaime Guzmán Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Zamora Olivares Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Araya Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Fernández Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Richard Leyton Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nelson Espinoza Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Yamilet Araya Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ana Paula Garrido Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Emilia Pinto Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Arce (2006) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Dominik Paredes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Julio Fierro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Brenda Vásquez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Zamira Zamora Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Temperini (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Vincent Salas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Tiznado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Cristián Magaña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lukas Soza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Navarrete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Rodrigo Jara Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Mansilla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Diego García Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Egaña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Sebastián Ramírez (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego García Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 34. Francisco Sasmay Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Andrade Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jeremy Orellana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Adrián Reta (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Valdivia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Guajardo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Ortiz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Danko Espinoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Wilson Piñones Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Morales Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan José Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Torres Medina (2000) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nelson Rebolledo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Romo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Ignacio Sills (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- David Tati Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jens Buss Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Axl Ríos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daiana Masselli (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Constanza Rodríguez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Paula Iriarte Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Rocha Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Krishna Ramírez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Vargas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yerco Oyanedel Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Amara Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Belén Cortés Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Sofía Aguirre Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Araya Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
