name,position,position_raw,age,number,market_value,source
Dagna Leal,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
1. Fabián Moyano (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
12. Cristián Limenza Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
34. Ignacio Castillo (Sub-20) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
35. Diego Martínez (Sub-20) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Daniel Castillo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
25. Ignacio Castillo (Sub 21) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Diego Martínez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
1. Javier Santana (Sub-20) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Francisco Cifuentes Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Claudio González Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Gustavo Fuentealba Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Felipe Águila (Sub 21) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
1. Fernanda Raimilla Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
1. Tania Ulloa Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Benjamín Subiabre (Sub 21) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Daniel Retamal Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Mauricio Viana Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Tania Ulloa Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Darlyng Segura Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Vicente Castillo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Christian Fuentes Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Luis Ureta Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Benjamín Tapia Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Emilio Ascui (2006) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Kevin Catalán Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Gonzalo Collao Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Manuel Escobar Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
10. Jorge Faúndez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
15. Diego Subiabre Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
21. Pablo Tapia Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Brayan Troncoso Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
28. Benjamín Valdivia (Sub 20) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
3. Alonso Rodríguez (Sub-20) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
5. Jorge Aquino (PAR) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Diego Subiabre Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Fernando Cornejo Padilla Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Jorge Aquino (PAR) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
19. Orlando Gutiérrez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Camilo Becerra Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
26. Gonzalo Sepúlveda Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
7. Diego Sepúlveda Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Bryan Troncoso (Sub-20) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
Pablo Tapia Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
3. Nicolás Aedo Clavel (Sub-20) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-puerto-montt/?sid=161378
