- Luis Roa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Víctor Gálvez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Nicolás Abarca Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Jaime Arriagada Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Diego Torres Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. José Olmos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Gustavo Muñoz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Óscar Salazar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Samamé Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Byron Santelices Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Estay Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Nicolás Márquez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Cristian Ramos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Lecaros (2000) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Paillaqueo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Camilo Morales Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Cañete Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ángel Marval (2003) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Abarca Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Molina (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Escobar (2002) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Galdames (2008) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Esteban Alarcón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Nicolás Araya Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
