- Juaquín Gutiérrez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Ponce Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Ahumada Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Pablo Arteaga Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Guajardo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Espina Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Castro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Josthin Neira Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Soto Valdebenito Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Mura Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Martín Lillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Abner Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Andrades Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Freire Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Manquilef Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Palma Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Cristián González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Inostroza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Camilo Pastene Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Zuleta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Suazo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Viveros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Yissi Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Tapia Bustos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Espinoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Sotomayor Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Diego Anticoy Montupil Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Oyarzo Soto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
