name,position,position_raw,age,number,market_value,source
1. José Castillo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
25. Andrés Sánchez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
Alonso Montecinos Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
13. Álvaro Ogalde Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
Ignacio Azúa Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
Eryin Sanhueza Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
André Jerez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
22. Sebastián López (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
Jordan Santander Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
Andrés Fernández Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
Dilan López (Sub 21) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
32. Martino Fiamengo (Sub 21) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
Rodrigo Cancino Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
Isabella Grinberg Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
12. Natasha Taiba Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
Joaquín García Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
Jorge Pizarro Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
Jorge Cantillana Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
Lucas Méndez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
Marcel Cortez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
23. Wyilo Maturana Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
3. Nicolás López Torres Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334
