- 1. Alan Chaparro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. José Acevedo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Cristofer Guerra (Sub 20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Camus Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Jorge Núñez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Cifuentes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gunther Nawrath Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Nicolás Alvarado Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Francisco Cayupi Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Juan Carlos Cabrera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Díaz Usedo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Martín Toro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Ponce Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Erices Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Juaquín Gutiérrez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Matías Gutiérrez Breve Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Beltrand Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Fabio Jiménez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Ángel Rojas Martínez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Patricio Ramírez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Toloza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Juan Figueroa (Sub 20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Jesús Villalobos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Cristián Venegas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Merino Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Thomas Acuña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Fabián Monilla (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ramón Pellao Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Looff Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Quintana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Gajardo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
