name,position,position_raw,age,number,market_value,source
2. José Barraza,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
13. Nicolás Sierralta,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
12. Matías Carrasco Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
25. Nicolás Contreras Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Kevin Arqueros Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
12. Francisco Sanzana Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
22. Cristián Guerra Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Dylan Núñez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Renato Huerta Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
4. Josué Páez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
28. Felipe Rojo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
7. Kevín Guajardo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Camilo Salazar Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
7. Diego Araya Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
19. Marcelo Tapia Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
4. Felipe Ibacache Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
3. Marcelo Salinas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
21. Freddy Iturrieta Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
5. Pedro Valladares Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Elías Rivera Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
29. Elías Herrera Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
15. Matías Araya De la Vega Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
2. Hugo Rojas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
15. Bastián Fowler Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Tomás Aqueveque Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Gerson Valenzuela Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
18. Brandon Estay Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
21. Mikerson Miranda Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Pablo Álvarez Ocayo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Vicente Zúñiga Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Marcelo Arriagada Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Lukcas Munizaga Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Ronald Quijada Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Rodrigo Huarache Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
15. Abraham Bolados Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
17. Dante Cortés Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
23. Matías Saavedra Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
8. David Villarroel Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
6. Jhon Checura Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
10. Jairo Guzmán Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Vicente Villalobos Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
23. Matías Álvarez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
14. Vicente Barrera Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
20. Tomás Rivera Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Matías Araya Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Sebastián Espinoza Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
David Alcota Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
11. Brian Villalobos Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Benjamín Miranda Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Sebastián Díaz Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Rodrigo Albornoz Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
8. Sebastián Páez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Roberto Aguirre Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
6. Sebastián Díaz Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Jordan Villanueva Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
16. Mickelson Miranda Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
18. Cristián Navarro Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
Freddy Iturrieta Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-mejillones/?sid=161334
