- Cristóbal Osorio (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Benjamín Díaz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Denylson Arriagada Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Tenorio Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Jélvez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Lezana Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 34. Martín Aguilera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Carreño Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Johan Gamboa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Lagos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego López Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Morales Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Suazo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Mauricio Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guido Seyssel Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Cristóbal Maldonado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Esteban Vargas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Camilo Quiroz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Voisin Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Navarro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Milovan Domínguez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Riquelme Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Alejandro Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Camilo Pastene Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Simón Castro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Romo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Dery Varela Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Cristóbal Cornejo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Oscar Moraga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Marcelo Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Sebastián Barros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Matías Ferrari Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Eduardo Palma Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- David Peña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Johan Jeldes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Álex Pailamilla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 35. Johan Jeldres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Poblete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Mateo Cabrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Richard Arenas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Lara Bruzzone Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rubén Araneda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Fuentes Sandoval Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Muñoz Aravena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Leandro Ponce Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jeremy Olivares Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Aedo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Olguín Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lauro Ortega Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevyn Espinosa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Vásquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Juan Zúñiga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Rocha Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio López Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Marco Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Sebastián Guzmán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Juan Zuñiga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Carlos Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Oliden Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Daniel Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Darío Aravena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Brayan Ríos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Nicolás Gómez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yenko Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Eliel Aldana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Tayson Chandía Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Moreno Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Baeza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brandon Véliz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Axel Inostroza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Steven Donoso Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
