- Atalia León | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Diaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ivette Olivares | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yazmin Torrealba | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Irribarra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rocío González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ashly Urra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Engerl Pastrian | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Daniel Murillo (COL) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Pérez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Darío Melo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- María Fernanda Zúñiga Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Valeria Rojas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Cerda Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Bórquez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Daniel Murillo (COL) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Lanzillota (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Denisse Agurto Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Fuentes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Gastón Guruceaga (URU) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Cristián Guerra Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Carolina Farías Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Constanza Galaz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Dixon Contreras (2002) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nery Veloso Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Toselli Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Zamorano Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Guzmán Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Monserrat Wolf Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Sappa (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- César Rigamonti (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
