name,position,position_raw,age,number,market_value,source
1. Bastián Cabrera Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
12. Joaquin Paredes Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
12. Harold Cuellar Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
1. Cristián Cruz Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
Kevin Catalán Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
25. Emilio Torres Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
Benjamín Muñoz Fernández Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
Pablo Vásquez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
Esteban Moreira Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
Diego Figueroa Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
Vicente Castellanos Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
Cristian Báez (2006) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
Hugo Faúndez (2003) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
Diego Matamala (2002) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
2. René Cárcamo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
Felipe Barrientos Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
14. Sebastian Pérez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
2. Fernando Álvarez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
3. Kevin Madariaga Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
Max Gatica Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
22. Sergio Paredes Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
5. Ylant Chacón Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
Iván Roldán Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
23. Fabián Novoa Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
3. Andrés Martínez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
Luciano Meneses Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
13. Leandro Inostroza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
22. Mathías Sotomayor Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
Felipe Alfaro Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-osorno/?sid=161378
