name,position,position_raw,age,number,market_value,source
Alexander Fernández,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
Claudio Estay,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
12. Cristóbal Navarrete Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
Ariel Rossi Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
25. Bastián Cáceres Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
12. Sebastián Valle Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
Bastián Cartagena Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
Leandro Rodríguez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
1. Cristóbal Díaz Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
David Seguel Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
Hans Schnaidt Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
Cristóbal Huerta Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
13. Claudio Estay Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
Sebastián González Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
Diego Bravo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
Bryan Vega Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
3. David Méndez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
Felipe Cuadros Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
5. Diego Bravo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
Alejandro Báez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
Stian Zamora Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/quintero-unido/?sid=161334
