name,position,position_raw,age,number,market_value,source
12. Gustavo Muñoz Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
Jaime Gómez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
1. Víctor Gálvez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
1. Alan Chaparro Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
12. Tomás Leiva Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
12. Robinson Herrera Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
12. Jairo López Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
12. Edwin Ortega (COL) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
Tomás Meyer (2001) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
Claudio Santis Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
Joaquín Tello (2004) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
José Luis Gamonal Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
Andrés Fernández Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
Mauricio Viana Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
Jean Cerda (2003) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
16. Claudio Rojas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
13. Alejandro Fariña Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
17. Fabian Barbosa Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
23. Janson Novoa Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/trasandino/?sid=161378
