- Macarena Benavente | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cecilia Cea | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Macarena Gutiérrez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Autogol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Camilo Reyes (Sub-20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Miguel Jiménez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Contreras Riquelme Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Pedro Uribe Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Odriozola (URU) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Celso Castillo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Gajardo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Hernán Muñoz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicola Pérez (URU) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Chandia (2006) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Ríos (2007) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Rodríguez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Tamara Contreras Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Tapia Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Aguilera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ingrid Medina Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Consuelo Hernández Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Espinoza Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Aracely Troncoso Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Bastian Reyes (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Braian Molina (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Darwin Cerda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- David Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Avello Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Kevin Hidalgo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Vargas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Quintana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Guillermo Avello Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Jorge Faúndez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Paolo Pérez (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Claudio Tenorio Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Mateo Marcussi (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Alan Muñoz (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nozomi Kimura Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jovany Campusano Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Navarrete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Jonathan Turra (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Jorge Ampuero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bernardo Cerezo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Guerrero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Fabricio Fontanini (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Pino Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Sepúlveda (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Del Pino Mago Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Meza (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Mancilla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Córdova Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Abascia (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Zalazar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Raimundo Rebolledo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Canales Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Noelia Sandoval Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Tamara Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Osvaldo Bosso Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Labrín Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Valencia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lautaro Pignata (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Medina Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Yáñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lirayén Hernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Paz Bachsmann Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Guzmán (2008) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Calderón (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alyson Alarcón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Salomón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Céspedes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Campos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Reyes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Alexander Corro (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Valdivia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Mateos (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Fernando Lazcano Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Johan Moreno Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Faúndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Orellana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Iván Pardo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Brayan Valdivia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Elias Bullon Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Iván Ferrada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Jorge Orellana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Walter Martínez (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valentín Demateis (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Benjamín Triviño Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. José Herrera (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Maximiliano Rios (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Paredes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Marcelo Vargas (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Felipe Rosas (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Rozas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Valenzuela Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
