name,position,position_raw,age,number,market_value,source
Erwin Neira Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Maximiliano Torres Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Matías Lincopi Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Patryck Salazar Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Marco Solís Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Vicente Belmar Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Bayron Aqueveque Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Luciano Vidal Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Oscar Soto Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Sebastián Guerrero Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Jairo Alvarado Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Lucas Viveros Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Felipe Carreño Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Eduardo Riquelme Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Sebastián Inostroza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Agustín Galianu Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Marcelo Gómez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Nicolás Fernández Rosales Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Davy Alonzo Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Ignacio Navarrete Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Matías Aguilera Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Roberto Coloma Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Jeremías Arzola Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Matías Arzola Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Lucas Fernández Barrientos Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Luis Lingue Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Álvaro Melipil Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Juan Carlos Martínez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Alexis Alarcón Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Vicente Marín Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Nicolás Aguayo Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Claudio Silva Cabrera Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Marcelo Chivailao Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Emilio Ibáñez Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
DT. Mauro Astrada Entrenador,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Erwin Neira,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Patryck Salazar,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Marco Solís,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Vicente Belmar,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Bayron Aqueveque,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Luciano Vidal,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Agustín Galianu,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Marcelo Gómez,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Nicolás Fernández Rosales,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Alexis Alarcón,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Vicente Marín,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Maximiliano Torres,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Oscar Soto,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Davy Alonzo,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Nicolás Aguayo,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Ignacio Navarrete,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Claudio Silva Cabrera,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Sebastián Guerrero,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Matías Aguilera,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
DT. Mauro Astrada,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Roberto Coloma,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Marcelo Chivailao,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Emilio Ibáñez,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Jairo Alvarado,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Jeremías Arzola,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Matías Arzola,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Lucas Fernández Barrientos,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Matías Lincopi,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Luis Lingue,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Álvaro Melipil,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Lucas Viveros,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Felipe Carreño,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Eduardo Riquelme,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Sebastián Inostroza,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
Juan Carlos Martínez,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/araucano-unido/?sid=166009
