- 12. Nicolás Covarrubias Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Lucas Guimpert Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Ahumada Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Javier Cubillos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Tomás Martínez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Cancino Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Escobar (2002) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Guzmán Morales Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Guerrero Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Montecinos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Asenjo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Javier Gómez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Abraham Lobos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Cubillos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Polanco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Barría Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daglas Maldonado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Antonio Bernedo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Troncoso Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Diego Araya Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Saldías Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Villarroel Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Danilo Bustamante Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Julián Gálvez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Leiva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Aranda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Vidal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Luis Aedo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Dery Varela Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Godoy Forne Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jordan Olea Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Guerra Villalobos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Bravo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joshua Villarroel Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Pérez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Garay Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Guzmán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Maureira Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Jordan Moreno Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Muñoz Tejas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Ricardo Guerrero Castillo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Esaú Burgos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Martín Campos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Ignacio Guerrero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Víctor Caroca Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marcello Calderón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Quezada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Araya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
