name,position,position_raw,age,number,market_value,source
Jean Durán,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-salamanca/?sid=161378
Ayax Perales,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-salamanca/?sid=161378
Sebastián Opazo,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-salamanca/?sid=161378
Jean Cubillos,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-salamanca/?sid=161378
Juan Cortés,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-salamanca/?sid=161378
Fabián Jimenez,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-salamanca/?sid=161378
24. Juan Zumelzú Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-salamanca/?sid=161378
1. Javier Carrasco Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-salamanca/?sid=161378
1. Benjamín Aguilera Gallardo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-salamanca/?sid=161378
César Celis Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-salamanca/?sid=161378
Ignacio Silva Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-salamanca/?sid=161378
16. Alejandro Rojo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-salamanca/?sid=161378
12. Lucas Gómez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-salamanca/?sid=161378
25. Joaquín Lorca Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-salamanca/?sid=161378
12. Maximiliano Jaña Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/municipal-salamanca/?sid=161378
