- Jordán Palma | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Ponce | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Pinto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Cea | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Regodeceves | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Elian Robles | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Vargas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Barraza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yefri Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Hernández Nuñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Sebastián Sánchez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Paredes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Vega Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Segundo Pérez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Álex Gemio Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Vicente Barraza Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Patricio Cortés Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Maximiliano Rojas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jeff Barría Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Rivera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Julián León Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Cárdenas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. José González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Enrique Campos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Pérez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Rojas Coloma Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Medalla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Cortés Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- René Herrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Vega Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Zepeda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Brandon Maluenda Araya Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Jordan Tapia Tabilo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Sergio Mondaca Codoceo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Joriam Aguirre Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
