- Miguel Torres Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Miguel Cayupi Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Johan Gamboa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Briceño Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Labbé Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Mellado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Paulo San Juan Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Samuel Arias Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ariel Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Osorio Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Álex Pailamilla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Diego Cabrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Diego Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Gustavo Sotomayor Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Adrián Ñanculef Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco López Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Meza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Irigoyen Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Paolo Castro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Dixon Véliz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Zapata Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Sobarzo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Martínez Farías Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Sepúlveda Arellano Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Jerez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Miranda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Pérez Zúñiga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Machuca Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Pino Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Andrade Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Bastián Calderón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Johan Díaz Vásquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Diego Fernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Cornejo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Bryan Olivares Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Castañeda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
