name,position,position_raw,age,number,market_value,source
12. Agustín Orion Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Brayan Cortés Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
1. Pablo Soto Soto Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Darío Melo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Julio Fierro Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
José Sanhueza Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Omar Carabalí Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
12. Constanza Barrientos Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Miguel Pinto Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Diego López Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
1. Stéfany Castaño Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
22. Romina Parraguirre Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
12. Carolina Armijo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
1. Daniel Morón Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
12. Marcelo Ramírez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
31. Julio Fierro (Sub-20) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Daniella Rojas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Benjamín Morales (2004) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Eduardo Villanueva Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Fernando De Paul Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Antonia Canales Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
1. Ryann Torrero Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
12. Javiera Díaz Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Catalina Mellado Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Bernardita Hernández Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Martín Ballesteros Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Ryann Torrero Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Javiera Díaz Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Gabriel Maureira (2007) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Santiago Tapia Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Fernando Meza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Matías Zaldivia Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Julio Barroso Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
6. Juan Manuel Insaurralde (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
11. Gonzalo Fierro Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Óscar Opazo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Gabriel Suazo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Brayan Véjar Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Felipe Campos Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
30. Diego Ohlsson Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Iván Contreras Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
24. Benjamín Jerez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
15. Damián Pérez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Ronald De la Fuente Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Agustín Ortiz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Cristián Gutiérrez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Rosario Balmaceda Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Bárbara Muñoz Bustamante Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
3. Rocío Soto Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Hardy Cavero Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Miguel Arias (2002) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Ignacio Contreras Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
17. Javiera Toro Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Anabel Guzmán (VEN) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
13. Tyare Ríos Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Valentina Díaz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Fernanda Hidalgo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Jeyson Rojas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
6. Miguel Ramírez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
3. Lizardo Garrido Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
5. Javier Margas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
15. Gabriel Mendoza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Pedro Navarro Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Maximiliano Falcón (URU) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
David Tati Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Bruno Gutiérrez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
3. Miiko Albornoz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Daniel Gutiérrez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Nicolás Garrido Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Emiliano Amor (SIR) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Darko Fiamengo (2003) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Diego Ulloa Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Anaís Cifuentes Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
22. Nicole Gutiérrez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Catalina Segovia Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Martina Osses Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Aixa Helbringer Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Santiago Bravo (2004) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Miguel Toledo (2004) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Felipe Yáñez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
58. Byron Molina (Sub 21) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Matías Pinto Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Nicolás Suárez (2005) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Michelle Olivares Acevedo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Alan Saldivia (URU) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Geraldine Leyton Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Sofía Barrios Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Fernanda Ramírez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Dahianna Bogarín (PAR) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Erick Wiemberg Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Ramiro González Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Matías de los Santos (URU) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
19. Michelle Olivares Acevedo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Alexia Gallardo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
3. Corina Clavijo (COL) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
16. Fernanda Hidalgo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
13. Fernanda Ramírez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Corina Clavijo (COL) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Carolina Frisanco Pardal (BRA) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Diana Díaz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Nicole Gutiérrez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Jonathan Villagra Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Cristian Riquelme Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Mauricio Isla Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Juan Pablo Reyes (2005) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Sebastián Vegas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Fabiana Yantén (COL) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Camila Martins (BRA) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Catalina Arias Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Javier Rojas (2005) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Agustín Silva Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
José Durán Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Matías Moya (2007) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Bruno Torres Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Alonso Olguin Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Matias Orellana Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Víctor Campos (2006) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Benjamín Pérez (2007) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Javier Méndez (URU) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Joaquín Sosa (URU) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Matías Fernández Cordero Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Bryan Carvallo Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
14. Carlos Carmona Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
21. Jorge Valdivia Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
César Pinares Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
30. Jaime Valdés Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Claudio Baeza Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Jorge Araya Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Carlo Villanueva Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Branco Provoste Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Benjamín Berríos Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Misael Llantén Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Williams Alarcón Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
8. Luciano Díaz Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Esteban Pávez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
José Aguilera Tapia Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Vicente Pizarro Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Bryan Soto Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
Ethan Espinoza Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/colo-colo/?sid=161381
