name,position,position_raw,age,number,market_value,source
Autogol,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Matías Cano (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Daniel Retamal Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Ignacio Cordero Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
31. Eduardo Lobos Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Gustavo Merino Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Guillermo Orellana Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
1. Maicol Vergara Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Débora Cubillos Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Pía Espinoza Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Rodrigo Formento Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Miguel Pinto Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Diego Sánchez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
12. Macarena Carvajal Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Constanza Zárate Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Cristóbal Dorador (2006) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Gonzalo Flores Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Darlyng Segura Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Mariana Valencia Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
18. Isaías Meneses Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
18. Francisco Ayala Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
19. Alí Manouchehri Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
2. Mario Pardo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Sebastián Cabrera Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
3. Luciano Araya Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Diego Carrasco Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
4. Washington Torres Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
2. Sebastián Silva Lavanderos Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Daniel Vicencio Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Jaime Soto Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
John Salas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Diego Oyarzún Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
30. Facundo Cardozo (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Nicolás Berardo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Sebastián Silva Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Sebastián Iturriaga Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Dylan Escobar Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Benjamín Vidal Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Bayron Saavedra Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Raúl Osorio Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Flavio Rojas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Víctor González Chang Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Federico Pereyra Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
17. Juan Carlos Espinoza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Nicolás Díaz García Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Agustín Volker Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Gabriel Sarria Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
15. Jean Beausejour Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Ricardo Escobar Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Sergio Felipe (URU) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
34. Francisco Sasmay Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Axel Cortés (Sub 21) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
María José Godoy Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Vania Riveros Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Stéfany Orozco (COL) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Julieta Zepeda Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
2. Graciela Flores Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Dilan Zúñiga Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Christopher Barrera Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Gonzalo Jara Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Felipe Yáñez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Benjamín Meza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Carol Ardiles Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
27. Gerardo Gordillo (GUA) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Bruno Cabrera (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Ignacio Mesina (2001) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Juan Cornejo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Salvador Sánchez (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Miguel Sanhueza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Levit Bejar Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
14. María José Godoy Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
17. Carol Ardiles Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
6. María Paz Bogado (PAR) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Graciela Flores Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Javiera Blanco Meneses Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Stefany Orozco (COL) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
5. Claudia Maturana Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Sebastián Cardozo (URU) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Aline Bello Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Constanza Alarcón Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Manuel Fernández Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Elvis Hernández Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Axel Cortés Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Francisco Salinas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
María Paz Bogado (PAR) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Claudia Maturana Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Ashley López Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Valeria Núñez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Josefa Moya Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Lukas Soza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Ivette Campos Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Consuelo Martínez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
Francisca Olmos Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/coquimbo-unido/?sid=161376
