- Molie Madariaga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rossana González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Khathalina Guerrero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Catherine Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- María Castro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Rodrigo Naranjo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Julio Junior Bórquez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Sotomayor Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Maximiliano Mori Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Pérez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Levinao Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Sebastián Cuerdo (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Castillo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Álex Gemio Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Yamilet Araya Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Salazar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Alejandro Sánchez (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Reyes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Grace Mora Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jaidy Ventes (COL) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Daniza Palape Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Rodríguez (2005) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Sappa (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nayleen Guzmán Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Isabella Grinberg Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Requena (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Henry Binimelis (2006) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Calbucura Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Rojas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Zacarías López Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Blázquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Piero Arredondo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Abel Hidalgo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Mauricio Zenteno Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Hans Salinas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Peñailillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 41. Alan Moreno Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Hernán Lopes (PAR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Héctor Berríos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Manuel Bravo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Wilson Piñones Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Andrés Imperiale (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
