- Dagna Leal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Fabián Moyano (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Cristián Limenza Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 34. Ignacio Castillo (Sub-20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 35. Diego Martínez (Sub-20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Castillo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Ignacio Castillo (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Martínez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Javier Santana (Sub-20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Cifuentes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Fuentealba Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Águila (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Fernanda Raimilla Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Tania Ulloa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Subiabre (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Retamal Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Viana Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Tania Ulloa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Darlyng Segura Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Castillo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Fuentes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Ureta Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Tapia Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Emilio Ascui (2006) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Catalán Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Collao Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Escobar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Jorge Faúndez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Diego Subiabre Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Pablo Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Troncoso Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Benjamín Valdivia (Sub 20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Alonso Rodríguez (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Jorge Aquino (PAR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Subiabre Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Cornejo Padilla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Aquino (PAR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Orlando Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Becerra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Gonzalo Sepúlveda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Diego Sepúlveda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Troncoso (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Nicolás Aedo Clavel (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Ballesteros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Jorge Lazo Sánchez (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Harold Antiñirre Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Juan Cruz Monteagudo (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Esteban Sáez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Opazo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Bidari García (ESP) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
