name,position,position_raw,age,number,market_value,source
Diego Reyes Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Bastián Adille Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Matías Pradenas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Pablo Arenas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Pablo Puebla Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Enrique Contreras Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
1. Benjamín Pérez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Sebastián Morales Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Bastián Fuentes Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Marcos Neira Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Maximiliano Collao Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Kevin Guzmán Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Brayan Pedreros Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Ariel Inostroza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
José Elías Espinoza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
16. Mauricio Poblete Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
John Caicedo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Michael González Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Marcos Manríquez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Sebastián Umaña Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Yerko Oyarzún Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Julián Krug Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Maikol González Llancavil Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Diego López Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Ignacio Moya Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Alexander Gaete Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Bryan Solís Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Diego Suárez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Alejandro Zúñiga Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
Carlos González Contreras Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/d-rancagua/?sid=166009
