name,position,position_raw,age,number,market_value,source
1. Carlos Julio Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
Jeff Barría Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
Gustavo Fuentealba Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
12. Juan Segovia Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
22. Benjamin Urtulla Cataldo (Sub 20) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
Marcelo Aliaga Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
12. Rodrigo Chinga Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
Diego Lara Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
1. Benjamín Pérez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
12. Eduardo Jamett Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
Omar Tapia Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
Francisco Bugueño Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
1. Matías Hurych Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
15. Marcelo Romero Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
Elián Olivares Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
Matías Zamora Olivares Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
Tomás Cepeda Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
2. Freddy Vásquez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
18. Ítalo Pizarro Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
34. Carlos Gutiérrez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
Jeisson López Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
17. Matías Muñoz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
4. Bruno Villablanca Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
3. Fidel Córdova Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
Matías Fracchia Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
27. Óscar Quijada Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
16. Carlos Yañez Aguilar (Sub 20) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
4. Ricardo Rojas Rojo (Sub 20) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
Benjamín Sánchez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
6. Jordano Cisterna Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
8. Luciano Cisterna Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
28. David Fernández Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
22. Luis Felipe Díaz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
Luciano Meneses Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
Ignacio Aguilar Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
Víctor Araya Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
5. Fabio Jiménez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009
