name,position,position_raw,age,number,market_value,source
Fabián Garrido,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
James Astudillo,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
Sergio Torres Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
Manuel Flores Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
1. Alfonso Torralbo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
27. Sebastián Sánchez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
12. Camilo Trejos Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
13. Nicolás Sandoval Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
1. Martín Toro Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
12. Juan Herrera Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
Felipe Bello Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
19. Juan Pablo Herrera Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
4. Sebastián Retamal Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
19. Johan Navarrete Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
19. Felipe Peñaloza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
26. Francisco Peña Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
21. Luis Barra Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
3. Ronaldo Correa Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
Matías Caro Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
3. Ignacio Díaz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportivo-pilmahue/?sid=166009
