- Marco Farias | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo González G | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Mella | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kamillo Hurger | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Constanzo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Andro Martinic Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Araya Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Lucas Guimpert Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Carlos Díaz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Pablo Carrillo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Durán Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Ramírez Pacheco Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Ochoa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Arias Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Julve Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Oliver Jorquera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mitchell González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Agüero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Delgado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Joaquín Julve Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Mario Cortez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Robinson Salinas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Diego Carimán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Soto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joshoa Sotomayor (2000) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Felipe Ibacache Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Aillón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Nicolás Pozo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Jairo Pozo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Paredes Cabrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Lucas Pino Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joel Álvarez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Maximiliano Calderón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Diego Mardones Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Zapata Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Dante Vargas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Pedro Herrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Cristopher Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Paolo Flores Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joan Urbina Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Bastidas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Hueiquil Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Ramírez Corrales Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Dinamarca Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Peñailillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Olguín Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Jaramillo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Axel González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alfredo Tobar Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Esteban Pérez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mitchell González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Matías Delgado Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Arriagada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Halam Jesús Jorquera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Diego Leyton Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Marcos Sepúlveda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Eric Poblete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Garcés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Adrián Araya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Polher Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Ponce Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- David Moreno Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Rivera Retamal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Navarrete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Pérez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Cáceres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Sepúlveda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Felipe Muñoz Oyarzún Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Lisboa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Diego Soto Cornejo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Lyann Quijada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Dupuy Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Juan Cárdenas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
