- Roberto Seguel | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Jara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Joel Cárcamo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Rojas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Matías Villegas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Fierro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gaspar Espinoza Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Franco Martínez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Vásquez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan José González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Medina Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Suazo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Soto Valdebenito Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Cerda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Mauricio Aedo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Wills Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Diego Romero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Daniel Rivas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Montero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Martínez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Ricardo Donoso Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Bryan Acuña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Jara Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Mario Ledezma Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Diego Quiroz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Diego Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ronald Quijada Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Emiliano Cancino Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gerald Parra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ronaldo Oyanedel Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Salazar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joseph Paz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Iglesias Moretti Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ronald Villarroel Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Mansilla Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brian Figueroa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
