- Bastián Rubilar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ángelo Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Garrido | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Ramos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Mirko Rivera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal León Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Sepúlveda Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Huerta Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Muñoz Fernández Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Lucas Campos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José San Martín Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Carreño Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Bahamondes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Gajardo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Denis Pereira Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Dilan Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Osorio Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Quintana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Matta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristofer Fuenzalida Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Bravo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Campos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- David Núñez Vásquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Cruz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Sepúlveda Ortiz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Simón Castro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- David Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Valenzuela Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Paolo Flores Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Benjamín Herrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Alfaro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Yarko Álvarez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Juan Armijo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Javier Barahona Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Cristián Álvarez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 35. Iván Ruiz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Garrido Poblete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Adolfo Guzmán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Núñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- David Peña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Baeza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Becerra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Gabriel Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ian Leal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Fuentes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Leal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Luarte Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Mora Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Cofré Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Vega Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Tobías Córdoba Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Peña Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Díaz García Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Hernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
