name,position,position_raw,age,number,market_value,source
1. Diego Palominos Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
12. Joaquín Tobar Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Julián Armijo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Denylson Arriagada Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Daniel Cabrera Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Benjamín Pérez Argomedo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Raúl Pérez Barraza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Cristóbal Muñoz Palomino Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
22. Emilio Gálvez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
14. Darwin Valenzuela Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
2. Maximiliano Valenzuela Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Heriberto Riveros Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Sebastián Guzmán Caroca Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Michael Morales Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Benjamín Lecaros Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Fabián Alcayaga Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Franco Peñaloza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Benjamín Jiménez Quiroz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Gerardo Vidal Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Patricio Díaz Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Cristóbal Moraga Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
16. Pedro Muñoz Lizana Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
18. Alexis Gaete Galaz Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Alexis Gaete Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Patricio Echaniz Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
4. Felipe Quezada Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
6. Víctor Aranzáez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Matías Ibarra Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
5. Ariel Estrada Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
25. Nahuel Brito Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Javier González Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Benjamín Núñez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Darío Espíndola Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Sebastián Pizarro Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Victor Gómez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Cristopher Ureta Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Kevin Silva Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Leonardo Román Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Javier Acevedo Díaz Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Germán Rojas Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Pablo Vargas Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Martín Becerra Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
Alejo Araneda Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009
