- 1. Diego Palominos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Joaquín Tobar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Julián Armijo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Denylson Arriagada Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Cabrera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Pérez Argomedo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Pérez Barraza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Muñoz Palomino Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Emilio Gálvez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Darwin Valenzuela Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Maximiliano Valenzuela Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Heriberto Riveros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Guzmán Caroca Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Morales Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Lecaros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Alcayaga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Peñaloza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Jiménez Quiroz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gerardo Vidal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Moraga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Pedro Muñoz Lizana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Alexis Gaete Galaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Gaete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Echaniz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Felipe Quezada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Víctor Aranzáez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
