- Agustín Rebolledo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Cartes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Hermosilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Zarricueta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Reveco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ariel Aubele | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Navarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Héctor Palma Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Ignacio Urrutia Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Mora Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Francisco Bustos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Bayron Herrera (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Carlos Parada Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Córdova Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Salazar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Oscar Soto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Pérez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Daroch Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Matías González Cuevas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Arturo Vásquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Luco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Parra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Krishner Delgado Ñanculef Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Rafael Ruiz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Ignacio Mella Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Franco Salazar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Miguel Alveal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Cristián Gatica Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gerson Daza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Bastián Zúñiga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Jordan Méndez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Jerez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Jordán Jimenez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Matías Matus Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Ricardo Donoso Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
