name,position,position_raw,age,number,market_value,source
José Ponce,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
20. Vania Miranda,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Autogol,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Ignacio González Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
12. Nelson Espinoza Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
22. José Ignacio Lártiga (Sub-20) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
1. Leonardo Figueroa Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
23. José Ignacio Lártiga Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Manuel García (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Kevin Catalán Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Marcelo Jélvez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
1. Alan Chaparro Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Omar Carabalí Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Pablo Heredia Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Javier Ruggeri (Sub 21) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Camilo Rozas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Paulo Garcés Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Leandro Rodríguez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Brayan Manosalva Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
1. Catalina Mellado Alvarado Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
25. Ignacio Pietrobono (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Franco Torgnascioli (URU) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Nicolás Avellaneda (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Jorge Peña Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
12. Daysi Arenas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
1. Sofía Iturrieta Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Ignacio Ponce (Sub 21) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Catalina Terán Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Francisco Cifuentes Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Maximiliano Velazco (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
José Tomás Martínez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Daniel Retamal Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
María Zamora Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Sofía Vargas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Vicente Salazar (2007) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Tomás Charpentier (2006) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Krishnna Valdés Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Gabriela Garcés Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Nery Veloso Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Fernando Abarzúa Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Nicolás Peranic Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Tomás Yáñez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
13. José Rojas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Daniel Vicencio Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
17. Manuel Bravo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
26. Gonzalo Sepúlveda Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Luciano Vargas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
27. Rodrigo González Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
11. Diego Díaz Nuñez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
24. Joaquín Pereyra (URU) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
33. Daniel Viveros (Sub-20) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Iván Roldán Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Ignacio Lara Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Juan Abarca Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Andrés Robles Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Jeribeth Carrasco Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
20. Víctor Morales Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Douglas Estay Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
31. Francisco Bahamondes Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
5. Rodrigo Riquelme Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Bastián Melo (2001) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
37. Sergio Baquedano (Sub 21) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Fabrizio Tomarelli Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
22. Alexis Ferrero (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Damían González Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
5. Andrés Imperiale (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Diego Soto Riffo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
15. Ignacio Vázquez (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
8. Sebastián Carrillo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Ariel Cáceres Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Claudio Meneses Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Fernando Cornejo Padilla Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Néstor Moiraghi (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Rodrigo González Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Javier Sotomayor Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Mateo Guerra Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Ezequiel Luna Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
17. María Sepúlveda Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Constanza Mizala Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
23. Paulina Miranda Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
María Salvador Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
5. Daniela Carreño Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Lukas Soza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Alejandro Henríquez (2001) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Diego Bravo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Felipe Robles Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Diego Sanhueza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Federico Pereyra Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Agustina Díaz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Valentina Mena Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Catalina Bolados Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
3. Mayra Astudillo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
5. Cathalina Lara Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
2. Antonia Huerta Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
María Jesús Valenzuela Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Sophía Pinto Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Maite Mella Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Paula Ardiles Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Gonzalo Sánchez (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Luciano Moreno (2003) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Hardy Cavero Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Guillermo Cubillos Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Yahir Salazar (2005) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Mauro Tapia (2004) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Javiera Estay Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Camila Aravena Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Danitza Carrere Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Ángelo Vergara (2003) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Felipe Coronel (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Cristóbal Vergara Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Gabriel Sarria Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Guillermo Avello Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Yerko Águila Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Nicolás Muñoz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
José Navarrete Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Raúl Osorio Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Joseffa Pizarro Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Katheryn Holm Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Danae Rivas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
María José Tiznado Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Macarena Morales Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Tiago Ferreyra (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Alonso Villegas (2006) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Cristian González (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Ignacio Meza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Lucciano Moreno Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Pablo Millan (2007) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Vicente Durán Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
10. Maximiliano Rodríguez Maeso (URU) Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Christian Bravo Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Braulio Leal Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Boris Sagredo Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
23. Gonzalo Rivas Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
24. Jonathan Bonilla Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Ed Verhoeven Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Antonio Estrada Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Gonzalo Rojas Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Camilo Moya Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
7. Jacobo Mansilla (ARG) Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Álvaro Césped Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Jorge Romo Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
21. Sebastián Mendez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
11. Carlos Rodolfo Rotondi Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Joel Amoroso Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Daniel Viveros Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
10. Nicolás Lecaros Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
Carlos Hormazábal Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
23. Hugo Soria (URU) Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/san-luis/?sid=161379
