- Pilar Gómez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Tapia Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Silva Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nery Veloso Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Manosalva Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Retamal Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Ureta Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Sebastián Cuerdo (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Carolina Maturana Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nayleen Guzmán Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Dobboletta (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Azúa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Salma Aguirre Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Abarca Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Temperini (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Claudia Fernández Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Dedes (2005) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Parraguez (2010) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Josaphat Muñoz (2009) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Saracho (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bernardo Mendoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Guerra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Kalise Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Medina Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Meza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Robert Matías González (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Oliver Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Korben Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Roberto Hernández (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Moya Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mirko Serrano Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Juan Pastenes (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Rivera Arévalo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Ubilla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Bianca Jiménez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Francisca Latorre Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Martina Lazo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Camila Retamales Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Anita González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maura Herrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Cerón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Torres Medina (2000) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cesar González Silva (2002) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Vicencio Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Brayams Viveros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alberto Hernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Hugo Rojo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Avello Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Cáceres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Linneth Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Ponce Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Jéssica Huarachi Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yerezim Jiménez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Píriz (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Almendra Navarro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Florencia Belmar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Augusto Barrios Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge González (PAR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Ayala Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Reiner Campos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Bravo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Ledesma (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ítalo Müller Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Elizabeth Núñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Mizala Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
