name,position,position_raw,age,number,market_value,source
Mirko Rivera Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
13. Diego Sánchez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
22. Cristián Guerra Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Diego Sánchez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Juan José Echave (2001) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Mirko Rivera (Sub-20) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Álvaro Salazar Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
29. Luis González (Sub 20) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Miguel Pinto Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Fernando Soto (2006) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Luis Mejía Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Sebastián Pérez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Alonso Montecinos Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Catalina Guzmán Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Ariela Rojas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Franco Torgnascioli (URU) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Martín Ballesteros Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
María Fernanda Zúñiga Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Daniella Rojas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Enzo Uribe Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Martín Parra Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Natalia Campos Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Nicolás Garrido (2005) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Fernanda Álvarez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Julio Fierro Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Martin Rodríguez Prantl (URU) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
17. Jorge Ampuero Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
2. Nelson Córdova (Sub-20) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
24. Ángelo Pizzorno (URU) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
26. Thomas Galdames (Sub-20) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
29. Luis Pavez Muñoz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
13. Víctor Méndez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
4. Nicolás Fuentes (Sub 20) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Ramiro González Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
7. Juan Pablo Gómez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
24. Ezequiel Palomeque (COL) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
José Manuel Aja (URU) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Juan Pablo Gómez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Luis Pávez Muñoz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Mario Larenas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Rodrigo González Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Thomas Galdames Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
25. Carlos Matheu (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Tomás Quintana (Sub-20) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Nicolás Fuentes Jiménez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Gabriel Suazo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Nicolás Mancilla Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Harold Cummings Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Agustín Volker Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Jonathan Villagra Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
José Leguizamón Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Stéfano Magnasco Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Marcelo Jorquera Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
6. Federico Platero (URU) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Manuel Fernández Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
José Tiznado Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Simón Ramírez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Andrés Segovia Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Ronaldo Oyanedel Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Valentín Vidal Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Yesenia Arenas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Dafne Garrido Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
Francisca Giménez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/union-espanola-2/?sid=161388
