name,position,position_raw,age,number,market_value,source
Gonzalo Collao,ARQ,Gonzalo Collao Goalkeeper,28,N/A,€75k,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Luis Ureta,ARQ,Luis Ureta Goalkeeper,26,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Vicente Castillo,ARQ,Vicente Castillo Goalkeeper,20,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Jesús Pino,DEF,Jesús Pino Centre-Back,34,N/A,€125k,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Ariel Morales,DEF,Ariel Morales Centre-Back,29,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Maximiliano Riveros,DEF,Maximiliano Riveros Centre-Back,27,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Francisco Calisto,DEF,Francisco Calisto Centre-Back,21,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Kevin Egaña,N/A,Kevin Egaña Left-Back,29,N/A,€200k,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Daniel Bahamonde,MED,Daniel Bahamonde Left-Back,24,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Vicente Yáñez,N/A,Vicente Yáñez Left-Back,21,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Byron Nieto,N/A,Byron Nieto Right-Back,28,N/A,€325k,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Juan Jaime,DEF,Juan Jaime Defensive Midfield,33,N/A,€300k,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
José Cárdenas,DEF,José Cárdenas Defensive Midfield,22,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Danilo Díaz,DEF,Danilo Díaz Central Midfield,23,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Gabriel Castillo,DEF,Gabriel Castillo Central Midfield,28,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Alexis Sabella,MED,Alexis Sabella Attacking Midfield,24,N/A,€200k,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Cristóbal Vargas,MED,Cristóbal Vargas Attacking Midfield,25,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Jason Flores,DEL,Jason Flores Left Winger,28,N/A,€200k,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Reiner Castro,DEL,Reiner Castro Left Winger,32,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Sebastián Pérez,DEL,Sebastián Pérez Left Winger,26,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Juan Alberto González,DEF,Juan Alberto González Left Winger,21,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Salvador Negrete,DEL,Salvador Negrete Left Winger,19,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Juan Arias,DEL,Juan Arias Right Winger,23,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Manley Clerveaux,DEL,Manley Clerveaux Right Winger,19,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Richard Paredes,DEL,Richard Paredes Centre-Forward,28,N/A,€300k,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Luciano Vásquez,DEL,Luciano Vásquez Centre-Forward,40,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
Lucas Mansilla,DEL,Lucas Mansilla Centre-Forward,21,N/A,-,https://www.transfermarkt.com/cd-puerto-montt/kader/verein/11657/saison_id/2025
