"name","position","position_raw","age","number","market_value","source"
"Leonardo Troncoso","MED","Leonardo Troncoso Attacking Midfield","20","N/A","€155k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"David Tello","MED","David Tello Central Midfield","21","N/A","€140k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Edson Puch","DEL","Edson Puch Left Winger","39","N/A","€10k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Felipe Espinoza","DEF","Felipe Espinoza Left-Back","26","N/A","€400k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Álvaro Ramos","DEL","Álvaro Ramos Centre-Forward","33","N/A","€150k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Jorge Ayala","DEF","Jorge Ayala Centre-Back","30","N/A","€300k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Franco Ledesma","DEF","Franco Ledesma Centre-Back","33","N/A","€150k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Matías Blázquez","DEF","Matías Blázquez Centre-Back","34","N/A","€100k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Zacarías López","ARQ","Zacarías López Goalkeeper","27","N/A","€150k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Vicente Concha","DEF","Vicente Concha Centre-Back","23","N/A","€150k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Iam González","DEL","Iam González Left Winger","21","N/A","€500k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Juan David Bacca","MED","Holding Midfield","21","N/A","€25k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Daniel Castillo","ARQ","Daniel Castillo Goalkeeper","35","N/A","€50k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Simón Contreras","DEF","Simón Contreras Right-Back","23","N/A","€100k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Dilan Rojas","DEF","Dilan Rojas Right-Back","21","N/A","€450k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Antony Henríquez","DEL","Antony Henríquez Right Winger","19","N/A","€50k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Agustín Venezia","MED","Agustín Venezia Attacking Midfield","22","N/A","€200k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Diego Orellana","MED","Diego Orellana Central Midfield","32","N/A","€375k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Alonso López","DEF","Alonso López Left-Back","20","N/A","€150k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Isaac Díaz","DEL","Isaac Díaz Centre-Forward","35","N/A","€100k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Joaquín Pereyra","MED","Holding Midfield","31","N/A","€300k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"Brayan Garrido","MED","Brayan Garrido Central Midfield","27","N/A","€350k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
"César González","DEL","César González Right Winger","29","N/A","€450k","https://www.transfermarkt.com/club-deportes-iquique/kader/verein/18076/saison_id/2025"
