"name","position","position_raw","age","number","market_value","source"
"Gabriel Sarria","DEF","Gabriel Sarria Centre-Back","26","N/A","€175k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Benjamín Inostroza","DEL","Benjamín Inostroza Second Striker","28","N/A","€155k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Francis Pérez","DEL","Francis Pérez Right Winger","23","N/A","€160k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Damián Tello","ARQ","Damián Tello Goalkeeper","30","N/A","€225k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Dilan Acevedo","MED","Dilan Acevedo Central Midfield","22","N/A","€145k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Rodrigo Colombo","DEF","Rodrigo Colombo Centre-Back","33","N/A","€150k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Enzo Ormeño","MED","Enzo Ormeño Central Midfield","26","N/A","€300k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Ian Aliaga","DEL","Ian Aliaga Centre-Forward","23","N/A","€50k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Juan Ruz","ARQ","Juan Ruz Goalkeeper","21","N/A","€130k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Joaquín Romo","MED","Joaquín Romo Central Midfield","26","N/A","€300k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Henry Sanhueza","DEF","Henry Sanhueza Centre-Back","29","N/A","€300k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Braulio Guisolfo","MED","Holding Midfield","23","N/A","€350k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Antonio Ramírez","DEF","Antonio Ramírez Right-Back","27","N/A","€140k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Ronald Guzmán","DEF","Ronald Guzmán Left-Back","24","N/A","€150k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Cristian Bustamante","DEL","Cristian Bustamante Centre-Forward","23","N/A","€150k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Nicolás Fernández","DEL","Nicolás Fernández Right Winger","26","N/A","€150k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Hans Ibarra","DEL","Hans Ibarra Left Winger","20","N/A","€150k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Bastián Bustos","MED","Bastián Bustos Attacking Midfield","20","N/A","€165k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Cristopher Medina","DEF","Cristopher Medina Right-Back","25","N/A","€375k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Leandro Benegas","DEL","Leandro Benegas Centre-Forward","37","N/A","€75k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Thomas Vergara","ARQ","Thomas Vergara Goalkeeper","23","N/A","€125k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Williams Sáez","DEF","Williams Sáez Left-Back","22","N/A","€200k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Ronald de la Fuente","DEF","Ronald de la Fuente Left-Back","35","N/A","€150k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Mauro Lópes","DEL","Mauro Lópes Left Winger","29","N/A","€25k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Roberto Riveros","DEL","Roberto Riveros Centre-Forward","29","N/A","€300k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Javier Retamales","MED","Javier Retamales Attacking Midfield","28","N/A","€200k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
"Diego Muñoz","DEF","Diego Muñoz Centre-Back","23","N/A","€100k","https://www.transfermarkt.com/cdp-curico-unido/kader/verein/19027/saison_id/2025"
