"name","position","position_raw","age","number","market_value","source"
"Diego Salvia","DEF","Diego Salvia Centre-Back","25","N/A","€155k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Fabián Manzano","MED","Holding Midfield","32","N/A","€200k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Cristóbal Marín","ARQ","Cristóbal Marín Goalkeeper","22","N/A","€25k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Bastián Tapia","DEF","Bastián Tapia Centre-Back","23","N/A","€300k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Manuel Maluenda","DEF","Manuel Maluenda Right-Back","23","N/A","€175k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Josepablo Monreal","DEL","Josepablo Monreal Centre-Forward","29","N/A","€250k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Patricio Castro","MED","Patricio Castro Central Midfield","21","N/A","€75k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Christian Bravo","DEL","Christian Bravo Right Winger","32","N/A","€200k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Juan Pablo Cisternas","ARQ","Juan Pablo Cisternas Goalkeeper","23","N/A","€50k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"José Bandez","DEL","José Bandez Left Winger","26","N/A","€275k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Matías Gallegos","DEL","Matías Gallegos Centre-Forward","28","N/A","€375k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Zacarías Abuhadba","DEF","Zacarías Abuhadba Left-Back","20","N/A","€150k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Diego Rojas","MED","Diego Rojas Attacking Midfield","31","N/A","€300k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Sebastián Leyton","MED","Holding Midfield","32","N/A","€200k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Mathías Suárez","DEF","Mathías Suárez Right-Back","29","N/A","€200k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Brayan Hurtado","DEL","Brayan Hurtado Left Winger","26","N/A","€200k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Iván Rozas","MED","Iván Rozas Central Midfield","27","N/A","€300k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Sergio Hinojosa","MED","Sergio Hinojosa Central Midfield","21","N/A","€100k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Cristián Díaz","DEF","Cristián Díaz Centre-Back","23","N/A","€250k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Felipe Álvarez","DEL","Felipe Álvarez Centre-Forward","21","N/A","€100k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Franko Siegler","DEF","Franko Siegler Right-Back","20","N/A","€100k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Rodrigo Astorga","DEF","Rodrigo Astorga Centre-Back","21","N/A","€125k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Adrián Cuadra","MED","Adrián Cuadra Central Midfield","28","N/A","€225k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Fernando Hurtado","ARQ","Fernando Hurtado Goalkeeper","42","N/A","€10k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
"Kevin Campillay","DEL","Kevin Campillay Right Winger","24","N/A","€375k","https://www.transfermarkt.com/club-de-deportes-antofagasta/kader/verein/17222/saison_id/2025"
