"name","position","position_raw","age","number","market_value","source"
"Fabián Abarca","DEL","Fabián Abarca Left Winger","21","N/A","€100k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Felipe Yáñez","DEF","Felipe Yáñez Left-Back","21","N/A","€400k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Diego Fernández","MED","Diego Fernández Central Midfield","27","N/A","€350k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Alonso Barría","DEL","Alonso Barría Centre-Forward","21","N/A","€75k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Santiago Coronel","MED","Santiago Coronel Left Midfield","25","N/A","€250k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Hans Salinas","DEF","Hans Salinas Left-Back","35","N/A","€75k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Alonso Walters","DEF","Alonso Walters Centre-Back","21","N/A","€275k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Cristóbal Jorquera","MED","Cristóbal Jorquera Attacking Midfield","37","N/A","€25k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Matías Vásquez","DEF","Matías Vásquez Centre-Back","23","N/A","€300k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Bruno Liuzzi","MED","Bruno Liuzzi Central Midfield","25","N/A","€160k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Diego Figueroa","DEF","Diego Figueroa Right-Back","22","N/A","€100k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Facundo Peraza","DEL","Facundo Peraza Centre-Forward","33","N/A","€100k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Esteban Neira","MED","Esteban Neira Central Midfield","21","N/A","€165k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Joaquín Muñoz","ARQ","Joaquín Muñoz Goalkeeper","35","N/A","€75k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Milton Alegre","DEL","Milton Alegre Centre-Forward","34","N/A","€100k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Matías Olguín","ARQ","Matías Olguín Goalkeeper","29","N/A","€135k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Claudio Meneses","DEF","Claudio Meneses Centre-Back","38","N/A","€25k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Rubén Farfán","DEL","Rubén Farfán Right Winger","34","N/A","€150k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Alessandro Toledo","DEL","Alessandro Toledo Right Winger","23","N/A","€175k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Buddy Galdames","DEL","Buddy Galdames Left Winger","21","N/A","€150k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Gamalier Guzmán","MED","Holding Midfield","20","N/A","€155k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Javier Quiroz","MED","Holding Midfield","25","N/A","€300k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Elías Berríos","DEF","Elías Berríos Right-Back","20","N/A","€75k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Martín Arévalo","DEF","Martín Arévalo Left-Back","21","N/A","€140k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Martín González","MED","Martín González Central Midfield","20","N/A","€200k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Martín Riffo","ARQ","Martín Riffo Goalkeeper","22","N/A","€125k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
"Martín López","DEF","Martín López Centre-Back","20","N/A","€160k","https://www.transfermarkt.com/magallanes-cf/kader/verein/13394/saison_id/2025"
