"name","position","position_raw","age","number","market_value","source"
"Javier Araya","DEL","Javier Araya Left Winger","20","N/A","€200k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Martín Torres","ARQ","Martín Torres Goalkeeper","21","N/A","€145k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"José Luis Gamonal","ARQ","José Luis Gamonal Goalkeeper","36","N/A","€50k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Manuel Vicuña","DEL","Manuel Vicuña Left Winger","26","N/A","€325k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Agustín Mora","DEF","Centre-Back","22","N/A","€75k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Diego Plaza","MED","Diego Plaza Central Midfield","25","N/A","€250k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Ignacio Ibáñez","DEL","Ignacio Ibáñez Right Winger","29","N/A","€350k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Gary Moya","MED","Gary Moya Central Midfield","24","N/A","€350k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Mauro González","MED","Mauro González Attacking Midfield","29","N/A","€200k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Kevin Vásquez","DEF","Kevin Vásquez Right-Back","28","N/A","€200k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Juan Méndez","MED","Juan Méndez Central Midfield","29","N/A","€450k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Alonso Rodríguez","MED","Holding Midfield","27","N/A","€250k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Alejandro Márquez","MED","Alejandro Márquez Central Midfield","34","N/A","€100k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Damián González","DEL","Damián González Left Winger","33","N/A","€250k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"José Navarrete","DEF","José Navarrete Right-Back","28","N/A","€325k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Carlos Labrín","DEF","Carlos Labrín Centre-Back","35","N/A","€175k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Cristian Campestrini","ARQ","Cristian Campestrini Goalkeeper","45","N/A","€10k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Matías Cortés","DEF","Matías Cortés Left-Back","22","N/A","€75k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Cristóbal Muñoz","DEL","Cristóbal Muñoz Centre-Forward","24","N/A","€175k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Claudio Servetti","DEF","Claudio Servetti Right-Back","31","N/A","€250k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Sebastián Acuña","DEF","Sebastián Acuña Centre-Back","22","N/A","€250k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"José Tomás Herrera","DEL","José Tomás Herrera Centre-Forward","23","N/A","€170k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
"Sebastián Ribas","DEL","Sebastián Ribas Centre-Forward","37","N/A","€10k","https://www.transfermarkt.com/rangers-de-talca/kader/verein/18720/saison_id/2025"
