name,position,position_raw,age,number,market_value,source
Ignacio González,ARQ,Ignacio González Goalkeeper,36,N/A,€100k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Isaac Esquenazi,ARQ,Isaac Esquenazi Goalkeeper,21,N/A,€25k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Esteban Kirkman,ARQ,Esteban Kirkman Goalkeeper,23,N/A,€25k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Hugo Magallanes,DEF,Hugo Magallanes Centre-Back,28,N/A,€400k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Valentín Vidal,DEF,Valentín Vidal Centre-Back,21,N/A,€400k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Diego Oyarzún,DEF,Diego Oyarzún Centre-Back,33,N/A,€275k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Ramiro González,DEF,Ramiro González Centre-Back,35,N/A,€150k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Vicente Vega,DEF,Vicente Vega Centre-Back,21,N/A,€150k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Vicente Fernández,N/A,Vicente Fernández Left-Back,27,N/A,€450k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Nicolás Baeza,N/A,Nicolás Baeza Left-Back,28,N/A,€350k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Byron Navarro,N/A,Byron Navarro Left-Back,22,N/A,€75k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Cristopher Barrera,DEL,Cristopher Barrera Right-Back,27,N/A,€400k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Lucas Soto,N/A,Lucas Soto Right-Back,23,N/A,€400k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Martín Guzmán,N/A,Martín Guzmán Right-Back,21,N/A,€200k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Óscar Opazo,N/A,Óscar Opazo Right-Back,35,N/A,€125k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Diéter Villalpando,DEF,Diéter Villalpando Central Midfield,34,N/A,€600k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Benjamín Berríos,DEF,Benjamín Berríos Central Midfield,27,N/A,€600k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Joaquín Moya,DEF,Joaquín Moya Central Midfield,32,N/A,€350k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Felipe Villagrán,DEF,Felipe Villagrán Central Midfield,28,N/A,€300k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Emiliano Ramos,MED,Emiliano Ramos Left Winger,20,N/A,€500k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Braian Martínez,DEL,Braian Martínez Left Winger,26,N/A,€450k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Alan Medina,MED,Alan Medina Right Winger,27,N/A,€1.30m,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Julián Alfaro,DEL,Julián Alfaro Right Winger,25,N/A,€400k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Sebastián Sosa,DEL,Sebastián Sosa Centre-Forward,31,N/A,€450k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Martín Cárcamo,MED,Martín Cárcamo Centre-Forward,22,N/A,€125k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Cristian Palacios,DEL,Cristian Palacios Centre-Forward,35,N/A,€100k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Nicolás Montiel,DEL,Nicolás Montiel Centre-Forward,20,N/A,€50k,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
Cristóbal Chadwick,DEL,Cristóbal Chadwick Centre-Forward,20,N/A,-,https://www.transfermarkt.com/cd-everton/kader/verein/7020/saison_id/2025
