"name","position","position_raw","age","number","market_value","source"
"Ian Garguez","DEF","Ian Garguez Right-Back","21","N/A","€800k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Dilan Zúñiga","DEF","Dilan Zúñiga Left-Back","29","N/A","€750k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Gonzalo Tapia","DEL","Gonzalo Tapia Centre-Forward","30","N/A","€500k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Ariel Martínez","MED","Ariel Martínez Central Midfield","32","N/A","€400k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Simón Pinto","DEF","Simón Pinto Right-Back","20","N/A","€250k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Jonathan Benítez","DEL","Jonathan Benítez Left Winger","34","N/A","€300k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Martín Araya","DEL","Martín Araya Left Winger","20","N/A","€200k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"César Munder","DEL","César Munder Left Winger","26","N/A","€850k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Alan Riquelme","DEF","Alan Riquelme Left-Back","22","N/A","€100k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Sebastián Salas","ARQ","Sebastián Salas Goalkeeper","24","N/A","€100k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Dilan Salgado","DEL","Dilan Salgado Left Winger","22","N/A","€250k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Fernando Meza","DEF","Fernando Meza Centre-Back","35","N/A","€100k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Vicente Espinoza","DEF","Vicente Espinoza Right-Back","22","N/A","€250k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Nicolás Meza","MED","Nicolás Meza Central Midfield","23","N/A","€100k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Antonio Ceza","DEF","Antonio Ceza Centre-Back","23","N/A","€600k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Julián Fernández","MED","Holding Midfield","30","N/A","€500k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Jason León","DEF","Jason León Left-Back","25","N/A","€650k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Bryan Carrasco","DEL","Bryan Carrasco Right Winger","35","N/A","€300k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Enzo Roco","DEF","Enzo Roco Centre-Back","33","N/A","€400k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"José Bizama","DEF","José Bizama Centre-Back","31","N/A","€200k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Francisco Montes","MED","Holding Midfield","21","N/A","€150k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Sebastián Gallegos","MED","Sebastián Gallegos Central Midfield","34","N/A","€200k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Joe Abrigo","MED","Joe Abrigo Attacking Midfield","30","N/A","€800k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Nelson Da Silva","DEL","Nelson Da Silva Centre-Forward","29","N/A","€450k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Ronnie Fernández","DEL","Ronnie Fernández Centre-Forward","35","N/A","€250k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
"Sebastián Pérez","ARQ","Sebastián Pérez Goalkeeper","35","N/A","€250k","https://www.transfermarkt.com/cd-palestino/kader/verein/6536/saison_id/2025"
