"name","position","position_raw","age","number","market_value","source"
"Diego Corral","DEL","Diego Corral Left Winger","20","N/A","€400k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Branco Ampuero","DEF","Branco Ampuero Centre-Back","32","N/A","€600k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Fernando Zampedri","DEL","Fernando Zampedri Centre-Forward","38","N/A","€250k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Vicente Bernedo","ARQ","Vicente Bernedo Goalkeeper","25","N/A","€600k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Sebastián Arancibia","DEF","Sebastián Arancibia Right-Back","19","N/A","€700k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Milan Tudor","DEL","Milan Tudor Centre-Forward","22","N/A","€255k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Nicolás L'Huillier","DEF","Nicolás L'Huillier Left-Back","21","N/A","€250k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Gary Medel","DEF","Gary Medel Centre-Back","38","N/A","€50k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Bernardo Cerezo","DEF","Bernardo Cerezo Right-Back","31","N/A","€550k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Cristian Cuevas","DEL","Cristian Cuevas Left Winger","30","N/A","€800k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Jhojan Valencia","MED","Holding Midfield","29","N/A","€1.00m","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Jimmy Martínez","MED","Jimmy Martínez Central Midfield","29","N/A","€600k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Clemente Montes","DEL","Clemente Montes Left Winger","24","N/A","€1.00m","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Juan Francisco Rossel","MED","Juan Francisco Rossel Attacking Midfield","20","N/A","€600k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Alfred Canales","MED","Holding Midfield","25","N/A","€800k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Bryan González","MED","Bryan González Central Midfield","23","N/A","€200k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Daniel González","DEF","Daniel González Centre-Back","24","N/A","€1.80m","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Juan Ignacio Díaz","DEF","Juan Ignacio Díaz Centre-Back","27","N/A","€450k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Eugenio Mena","DEF","Eugenio Mena Left-Back","37","N/A","€200k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Diego Valencia","DEL","Diego Valencia Centre-Forward","26","N/A","€700k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Ignacio Pérez","DEF","Ignacio Pérez Centre-Back","19","N/A","€75k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Tomás Asta-Buruaga","DEF","Tomás Asta-Buruaga Centre-Back","29","N/A","€400k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Matías Palavecino","MED","Matías Palavecino Attacking Midfield","27","N/A","€1.00m","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Justo Giani","MED","Justo Giani Attacking Midfield","26","N/A","€2.00m","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Vicente Cárcamo","MED","Vicente Cárcamo Attacking Midfield","20","N/A","€245k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Agustín Farías","MED","Holding Midfield","38","N/A","€50k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Fernando Zuqui","MED","Fernando Zuqui Central Midfield","34","N/A","€400k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
"Darío Melo","ARQ","Darío Melo Goalkeeper","32","N/A","€100k","https://www.transfermarkt.com/cd-universidad-catolica/kader/verein/3277/saison_id/2025"
