name,position,position_raw,age,number,market_value,source
Nicola Pérez,ARQ,Nicola Pérez Goalkeeper,36,N/A,€250k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Hernán Muñoz,ARQ,Hernán Muñoz Goalkeeper,37,N/A,€25k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Claudio Chandía,ARQ,Claudio Chandía Goalkeeper,19,N/A,-,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Osvaldo Bosso,DEF,Osvaldo Bosso Centre-Back,32,N/A,€350k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Pablo Calderón,DEF,Pablo Calderón Centre-Back,27,N/A,€350k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Felipe Campos,DEF,Felipe Campos Centre-Back,32,N/A,€300k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Carlos Salomón,DEF,Carlos Salomón Centre-Back,25,N/A,€250k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Sebastián Valencia,DEF,Sebastián Valencia Centre-Back,26,N/A,€100k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Jovany Campusano,MED,Jovany Campusano Left-Back,33,N/A,€350k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Diego Sanhueza,N/A,Diego Sanhueza Right-Back,23,N/A,€375k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Joaquín González,N/A,Joaquín González Right-Back,24,N/A,€225k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Diego Céspedes,DEF,Diego Céspedes Defensive Midfield,27,N/A,€450k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Lorenzo Reyes,DEF,Lorenzo Reyes Defensive Midfield,34,N/A,€225k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Manuel Rivera,DEF,Manuel Rivera Central Midfield,30,N/A,€500k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Daniel Saavedra,DEF,Daniel Saavedra Central Midfield,22,N/A,€150k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Matías Plaza,MED,Matías Plaza Attacking Midfield,25,N/A,€450k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Ignacio Tapia,MED,Ignacio Tapia Attacking Midfield,21,N/A,€75k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Alex Valdés,DEL,Alex Valdés Left Winger,23,N/A,€225k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Lucas Molina Canto,DEL,Lucas Molina Canto Left Winger,19,N/A,€100k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Giovanny Ávalos,DEL,Giovanny Ávalos Left Winger,20,N/A,€100k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Gabriel Graciani,DEL,Gabriel Graciani Right Winger,32,N/A,€600k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Fernando Ovelar,DEL,Fernando Ovelar Right Winger,22,N/A,€400k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Ignacio Jeraldino,DEL,Ignacio Jeraldino Centre-Forward,30,N/A,€450k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
Franco Rami,MED,Franco Rami Centre-Forward,22,N/A,€225k,https://www.transfermarkt.com/cd-nublense/kader/verein/14723/saison_id/2025
