"name","position","position_raw","age","number","market_value","source"
"Leandro Hernández","DEL","Leandro Hernández Left Winger","20","N/A","€350k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Erick Wiemberg","DEF","Erick Wiemberg Left-Back","31","N/A","€400k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Lautaro Pastrán","DEL","Lautaro Pastrán Left Winger","23","N/A","€600k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Maximiliano Romero","DEL","Maximiliano Romero Centre-Forward","27","N/A","€2.00m","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Marcos Bolados","DEL","Marcos Bolados Right Winger","29","N/A","€350k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Arturo Vidal","MED","Arturo Vidal Central Midfield","38","N/A","€175k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Bastián Silva","MED","Bastián Silva Central Midfield","22","N/A","€300k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Diego Ulloa","DEF","Diego Ulloa Left-Back","22","N/A","€500k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Javier Correa","DEL","Javier Correa Centre-Forward","33","N/A","€1.00m","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Claudio Aquino","MED","Claudio Aquino Attacking Midfield","34","N/A","€900k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Yastin Cuevas","DEL","Yastin Cuevas Centre-Forward","17","N/A","€255k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Jeyson Rojas","DEF","Jeyson Rojas Right-Back","24","N/A","€400k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Francisco Marchant","DEL","Francisco Marchant Right Winger","19","N/A","€700k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Tomás Alarcón","MED","Holding Midfield","27","N/A","€500k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Francisco Rivera","DEL","Francisco Rivera Right Winger","22","N/A","€25k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Víctor Méndez","MED","Holding Midfield","26","N/A","€1.20m","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Javier Méndez","DEF","Javier Méndez Centre-Back","31","N/A","€450k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Fernando de Paul","ARQ","Fernando de Paul Goalkeeper","34","N/A","€300k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Álvaro Madrid","MED","Álvaro Madrid Central Midfield","30","N/A","€500k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Matías Fernández","DEF","Matías Fernández Right-Back","30","N/A","€400k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Cristián Riquelme","DEF","Cristián Riquelme Left-Back","22","N/A","€300k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Miguel Toledo","DEF","Miguel Toledo Centre-Back","22","N/A","€240k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Jonathan Villagra","DEF","Jonathan Villagra Centre-Back","24","N/A","€800k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Dylan Portilla","MED","Dylan Portilla Central Midfield","21","N/A","€175k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Joaquín Sosa","DEF","Joaquín Sosa Centre-Back","24","N/A","€550k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Eduardo Villanueva","ARQ","Eduardo Villanueva Goalkeeper","21","N/A","€250k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Benjamín Morales","ARQ","Benjamín Morales Goalkeeper","22","N/A","€225k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
"Cristian Alarcón","DEL","Cristian Alarcón Centre-Forward","22","N/A","€245k","https://www.transfermarkt.com/csd-colo-colo/kader/verein/2433/saison_id/2025"
