"name","position","position_raw","age","number","market_value","source"
"Franco Calderón","DEF","Franco Calderón Centre-Back","27","N/A","€1.80m","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Ignacio Sáez","ARQ","Ignacio Sáez Goalkeeper","20","N/A","€300k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Matías Zaldivia","DEF","Matías Zaldivia Centre-Back","35","N/A","€400k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Gabriel Castellón","ARQ","Gabriel Castellón Goalkeeper","32","N/A","€600k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Eduardo Vargas","DEL","Eduardo Vargas Centre-Forward","36","N/A","€200k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Renato Cordero","MED","Holding Midfield","22","N/A","€325k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Nicolás Fernández","DEF","Nicolás Fernández Right-Back","26","N/A","€600k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Marcelo Morales","DEF","Marcelo Morales Left-Back","22","N/A","€1.80m","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Agustín Arce","MED","Agustín Arce Attacking Midfield","21","N/A","€400k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Charles Aránguiz","MED","Charles Aránguiz Central Midfield","36","N/A","€600k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Juan Martín Lucero","DEL","Juan Martín Lucero Centre-Forward","34","N/A","€900k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Israel Poblete","MED","Israel Poblete Central Midfield","30","N/A","€900k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Javier Altamirano","MED","Javier Altamirano Attacking Midfield","26","N/A","€2.30m","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Nicolás Ramírez","DEF","Nicolás Ramírez Centre-Back","28","N/A","€800k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Lucas Assadi","MED","Lucas Assadi Attacking Midfield","22","N/A","€3.00m","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Bianneider Tamayo","DEF","Bianneider Tamayo Centre-Back","21","N/A","€500k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Cristopher Toselli","ARQ","Cristopher Toselli Goalkeeper","37","N/A","€50k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Ignacio Vásquez","DEL","Ignacio Vásquez Left Winger","19","N/A","€350k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Octavio Rivero","DEL","Octavio Rivero Centre-Forward","34","N/A","€700k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Marcelo Díaz","MED","Holding Midfield","39","N/A","€25k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Maximiliano Guerrero","DEL","Maximiliano Guerrero Right Winger","26","N/A","€1.00m","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Lucas Romero","MED","Holding Midfield","23","N/A","€350k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Fabián Hormazábal","DEF","Fabián Hormazábal Right-Back","29","N/A","€2.50m","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Felipe Salomoni","DEF","Felipe Salomoni Left-Back","22","N/A","€700k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
"Diego Vargas","DEF","Diego Vargas Left-Back","19","N/A","€240k","https://www.transfermarkt.com/club-universidad-de-chile/kader/verein/1037/saison_id/2025"
