name,position,position_raw,age,number,market_value,source
Santiago Silva,ARQ,Santiago Silva Goalkeeper,26,N/A,€350k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
José Sanhueza,ARQ,José Sanhueza Goalkeeper,24,N/A,€225k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Moisés González,DEF,Moisés González Centre-Back,25,N/A,€600k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Bastián Ubal,DEF,Bastián Ubal Centre-Back,24,N/A,€350k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Leonel González,DEF,Leonel González Centre-Back,31,N/A,€250k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
David Retamal,DEF,David Retamal Centre-Back,22,N/A,€250k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Osvaldo González,DEF,Osvaldo González Centre-Back,41,N/A,€10k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Antonio Díaz,N/A,Antonio Díaz Left-Back,25,N/A,€450k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Yerco Oyanedel,DEL,Yerco Oyanedel Left-Back,25,N/A,€275k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Patricio Romero,N/A,Patricio Romero Left-Back,20,N/A,€250k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Lucas Molina,N/A,Lucas Molina Left-Back,21,N/A,€200k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Jorge Espejo,N/A,Jorge Espejo Right-Back,25,N/A,€750k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Benjamín Sáez,MED,Benjamín Sáez Right-Back,20,N/A,€50k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Jeison Fuentealba,DEF,Jeison Fuentealba Central Midfield,23,N/A,€500k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Cristhofer Mesías,DEF,Cristhofer Mesías Central Midfield,27,N/A,€500k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Bryan Ogaz,DEF,Bryan Ogaz Central Midfield,25,N/A,€350k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Facundo Mater,MED,Facundo Mater Right Midfield,27,N/A,€900k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Pablo Parra,MED,Pablo Parra Attacking Midfield,31,N/A,€300k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Luis Rojas,MED,Luis Rojas Attacking Midfield,23,N/A,€250k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Agustín Urzi,DEL,Agustín Urzi Left Winger,25,N/A,€1.00m,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Harol Salgado,DEL,Harol Salgado Left Winger,25,N/A,€350k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Ariel Uribe,DEL,Ariel Uribe Right Winger,27,N/A,€800k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Rodrigo Olivares,DEL,Rodrigo Olivares Right Winger,21,N/A,€175k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Luca Kmet,DEL,Luca Kmet Right Winger,20,N/A,-,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Daniel Barrea,DEL,Daniel Barrea Centre-Forward,24,N/A,€700k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Cecilio Waterman,MED,Cecilio Waterman Centre-Forward,34,N/A,€350k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
Diego Sabando,DEL,Diego Sabando Centre-Forward,20,N/A,€25k,https://www.transfermarkt.com/universidad-concepcion/kader/verein/5622/saison_id/2025
