name,position,position_raw,age,number,market_value,source
Julio Bórquez,ARQ,Julio Bórquez Goalkeeper,25,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
Tomás López,ARQ,Tomás López Goalkeeper,23,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
Cristóbal Finch,DEF,Cristóbal Finch Centre-Back,23,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
César Evans,DEF,César Evans Centre-Back,25,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
Luciano Meza,DEF,Luciano Meza Centre-Back,23,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
Bayron Velásquez,DEF,Bayron Velásquez Centre-Back,24,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
Andrés Segovia,N/A,Andrés Segovia Left-Back,28,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
Gonzalo Mura,N/A,Gonzalo Mura Left-Back,24,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
Janson Garrido,N/A,Janson Garrido Right-Back,23,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
Ignacio Vallejos,DEF,Ignacio Vallejos Defensive Midfield,23,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
Matías Godoy,DEF,Matías Godoy Central Midfield,24,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
Alexis Hormazábal,DEF,Alexis Hormazábal Central Midfield,22,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
Franco Gutierrez,DEF,Franco Gutierrez Central Midfield,24,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
Joaquín Zamorano,MED,Joaquín Zamorano Left Winger,-,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
Matías Colossi,DEL,Matías Colossi Right Winger,24,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
Ignacio Contreras,DEL,Ignacio Contreras Right Winger,25,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
Rodrigo Diaz,DEL,Rodrigo Diaz Centre-Forward,23,N/A,-,https://www.transfermarkt.com/ac-colina/kader/verein/71953/saison_id/2025
Canterano Atlético Colina 01,MED,MED,23,N/A,?50k,generated
