"name","position","position_raw","age","number","market_value","source"
"Paulo Magalhães","DEF","Paulo Magalhães Centre-Back","36","N/A","€105k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Federico Molina","ARQ","Federico Molina Goalkeeper","21","N/A","€95k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Massami Gutiérrez","DEL","Massami Gutiérrez Right Winger","22","N/A","€120k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Kurt Zimmermann","DEF","Kurt Zimmermann Left-Back","24","N/A","€90k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Efraín Navarrete","DEF","Efraín Navarrete Right-Back","23","N/A","€90k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Bryan Escobar","ARQ","Bryan Escobar Goalkeeper","23","N/A","€85k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Javier Herrera","DEF","Javier Herrera Centre-Back","21","N/A","€90k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Rubén Cepeda","MED","Holding Midfield","31","N/A","€105k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Francisco Sepúlveda","DEF","Francisco Sepúlveda Centre-Back","34","N/A","€90k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Luis Valenzuela","MED","Luis Valenzuela Attacking Midfield","38","N/A","€125k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Bernardo Mendoza","MED","Bernardo Mendoza Central Midfield","29","N/A","€130k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Sebastián Núñez","DEL","Sebastián Núñez Right Winger","23","N/A","€115k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Ian Núñez","MED","Ian Núñez Central Midfield","18","N/A","€110k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Renato Araya","DEL","Renato Araya Right Winger","23","N/A","€135k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Martín Alfaro","DEL","Martín Alfaro Left Winger","21","N/A","€130k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Yoel Guirrimán","MED","Yoel Guirrimán Attacking Midfield","20","N/A","€115k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Ignacio Carrasco","DEF","Ignacio Carrasco Left-Back","23","N/A","€95k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Jeckar Amaya","MED","Jeckar Amaya Attacking Midfield","23","N/A","€120k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Camilo Ponce","DEL","Camilo Ponce Centre-Forward","35","N/A","€105k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Nicolás Ibarra","DEL","Nicolás Ibarra Centre-Forward","20","N/A","€105k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Juan Pablo Lorca","DEL","Juan Pablo Lorca Right Winger","22","N/A","€110k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Damián Aldana","DEF","Damián Aldana Right-Back","23","N/A","€110k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
"Hernán Ramírez","DEL","Hernán Ramírez Centre-Forward","26","N/A","€135k","https://www.transfermarkt.com/club-deportes-rengo/kader/verein/31295/saison_id/2025"
